ugandan uganda
chronicler kronikisto
alp alpo
cheerful gaja
millet milio
delft delfta
tame dresi
warmth varmo
offend ofendi
offend insulti
admire admiri
monologue monologo
lump maso
lump peco
lump fragmento
lump bulo
quarrel disputo
quarrel kverelo
quarrel malpaco
quarrel kvereli
quarrel malpaci
aristocrat aristokrato
tyranny tiraneco
ballerina baletistino
etruscan etruska
recess alkovo
pacifist pacifisto
tendon tendeno
degenerate degenerita
degenerate degeneri
boil boligi
boil boli
subscriber abonanto
acoustics akustiko
tambourine tamburino
jug ujo
jug poto
amphibian amfibio
commute komuti
acknowledgement agnosko
virtuoso virtuozo
refute refuti
yell kriegi
sender sendinto
conjugate konjugacii
monstrous monstra
orator oratoro
overlay tegi
bracelet brakringo
bracelet braceleto
extraordinarily eksterordinare
barefoot nudpieda
fanfare fanfaro
seam junto
seam suturo
seam kunkudro
canine hunda
chromium kromo
bribe korupti
indifferent indiferenta
coping firsto
advantageous utila
advantageous favora
exert praktiki
oscillator oscilo
granny avinjo
fatherland patrujo
refinement bonmaniereco
wander migri
wander vagi
admirable admirinda
hummingbird kolibro
gully montfendo
orpheus orfeo
numeral numero
numeral cifero
ornament ornamo
ornament ornami
ornament dekori
serenade serenado
greedy avida
infer konkludi
dreamer revulo
amen amen
arable plugebla
pineapple ananaso
ypres ipro
utopian utopia
careless senatenta
careless neatenta
scissors tondilo
synchronous sinkrona
counsellor konsilanto
melodrama melodramo
castor kastoro
interruption interrompo
heater hejtilo
discomfort malkomforto
cough tuso
cough tusi
neapolitan napola
extravagant ekstravaganca
goliath goliato
ibis ibiso
sickle serpo
ordinarily kutime
ordinarily normale
ascertain konstati
plead pledi
stork cikonio
sarcasm sarkasmo
hostess gastejestrino
hostess gastigantino
mekong mekongo
willingly volonte
imitate imiti
alluvial aluvia
earthly tera
expel forpeli
assortment sortimento
optimism optimismo
oppressed premita
vagina vagino
stag vircervo
formulate formuli
pooh ba
flop malsukcesego
adhesion adhero
atelier ateliero
housewife dommastrino
kitten katido
amphitheatre amfiteatro
parapet balustrado
cider cidro
stew raguo
eros amoro
intestine intesto
admirer admiranto
rhinoceros rinocero
dogma dogmo
zeal fervoro
raspberry frambo
fetch alporti
gibbon gibono
snare kaptilo
snare insido
tungsten volframo
assisi asizo
civilized civilizita
bedouin bedueno
abbess abatino
cordon kordono
decorate ornami
decorate dekori
penthouse markezo
beginner komencanto
decider finalo
transitive transitiva
symbolize simboli
asterisk steleto
asterisk asterisko
cunning ruza
cunning malico
cunning ruzeco
wig peruko
subscribe aboni
cupola kupolo
contour konturo
equip ekipi
imp koboldo
viennese viena
viennese vienano
encode kodigi
concave kava
slander kalumnio
slander kalumnii
workman laboristo
comrade kamarado
progeny posteuloj
mesozoic mezozoiko
infect infekti
rancher bienisto
radiator radiatoro
blackbird merlo
quail koturno
extortion elpremo
repay repagi
satanic satana
weary enua
berne berno
pantomime pantomimo
chatter babili
incline klini
incline inklini
biscuit biskvito
colossal kolosa
needy senhava
ionian ionika
bleak malhela
bleak malvarma
bleak malagrabla
bleak melankolia
bleak malgaja
bleak malmilda
tray pleto
townhall urbdomo
ramadan ramadano
tulip tulipo
dues kotizo
stylus grifelo
fruitful fruktodona
speciality fako
annunciation anunciacio
alkali alkalo
carrot karoto
recollection memoro
recollection rememoro
recollection rememorigo
albatross albatroso
sticker glumarko
comical komika
rub froti
doric dorika
incest incesto
adventurous aventura
adventurous aventurema
calypso kalipso
conspire konspiri
illiterate analfabeto
illiterate analfabeta
grotto groto
secretion sekrecio
dragonfly libelo
incense incenso
agony angoro
agony agonio
etching akvaforto
equinox ekvinokso
beggar almozulo
beggar almozpetanto
ascend supreniri
ascend surgrimpi
allergy alergio
medusa meduzo
paleolithic paleolitiko
leprosy lepro
porcupine histriko
pliocene plioceno
harem haremo
germ mikrobo
kiln forno
longing sopira
rake rasti
rake rastilo
attica atiko
rumour famo
rumour onidiro
clarion klariono
sledge sledo
wand vergo
layman laiko
tub kuvo
priestly sacerdota
perseus perseo
amon amono
sore ulcero
californian kalifornia
curl buklo
curl kirli
deem rigardi
deem kredi
deem opinii
academician akademiano
knit triki
deformed misformita
grotesque groteska
zambian zambia
cupid amoro
samaritan samaria
samaritan samariano
samaritan samaritano
drown droni
drown dronigi
oscillation oscilado
boron boro
harden hardi
salty sala
ceres cereso
malian malia
seduce delogi
faked imitita
torrent torento
hesitation hezito
hesitation hezitado
adoration adorado
adoration adoro
hemp kanabo
aspiration aspiro
demolish malkonstrui
ruff duelbirdo
artisan metiisto
skeptic skeptikulo
roasted rostita
greet saluti
evoke elvoki
attest atesti
tidy orda
tidy ordigi
helpless senhelpa
subversive subfosa
morphine morfino
inert inerta
walloon valona
walloon valono
janus jano
swahili svahila
swahili svahilo
vosges vogezoj
culprit kulpulo
epiphany epifanio
colossus koloso
urgency insisto
urgency insistado
metamorphosis metamorfozo
dutchman nederlandano
dutchman holandano
hysteria histerio
gloss brilo
gloss gloso
enormously treege
enormously enorme
enormously grandege
paganism paganismo
prudent prudenta
apulia apulio
moderation modero
usurp uzurpi
oppressive sufoka
fragmentary fragmenta
refine rafini
dung feko
grounding terkonekto
downstairs malsupre
gaol malliberejo
gaol prizono
clamp krampo
remit nuligi
plough plugilo
plough plugi
dagestan dagestano
dagestan dagestana
housekeeper mastrumistino
forbidding fortimiga
eos eoso
frontage fronto
ridicule mokado
ridicule ridindigi
ridicule primoki
bile galo
icy glacia
confucius konfuceo
weave teksi
graceful gracia
cultured klera
thirst soifo
trolleybus trolebuso
ounce unco
serene serena
beryl berilo
roast rosti
concubine kromvirino
uphill supren
abode restadejo
abode domicilo
apostrophe apostrofo
appellation nomo
bayonet bajoneto
sycamore acero
sycamore platano
frankfort frankfurto
respiration spirado
augment pligrandigi
chap ulo
compliment komplimento
masquerade maskerado
assyria asirio
fertilization sterkado
opal opalo
cheated trompita
heracles herkulo
zaire kongo
zaire zairio
zaire zairo
everlasting senfina
suitcase valizo
lofty alta
refrigerator fridujo
humility humileco
raccoon prociono
raccoon lavurso
animate animi
authorize rajtigi
susceptibility akceptindeco
fiasco fiasko
croat kroato
oligocene oligoceno
emigrate elmigri
moldavian moldava
moldavian moldavo
abrasive akra
accomplice komplico
iceberg glacimonto
instruct instrukcii
groin ingveno
flamingo flamengo
phenomenal fenomena
archivist arkivisto
degrade degradi
vile malnobla
shaggy vila
consecutively sinsekve
wager veto
wager veti
primrose primolo
bellows balgo
aphrodite afrodito
tumour tumoro
notary notario
arrogance aroganteco
magnetism magnetismo
cavern kaverno
monsignor monsinjoro
assemblage kunveno
assemblage muntado
enlarge pligrandigi
haste hasto
eradicate elradikigi
grit gruzo
kyrgyz kirgiza
abstracted distrita
bookseller librovendisto
andalusian andaluza
andalusian andaluzo
lawless senbrida
fluff lanugo
undecided hezitema
moratorium moratorio
indispensable nemalhavebla
dreadful terura
anvil amboso
sturdy fortika
agar agaragaro
wrapper banderolo
proclaim proklami
puberty adoleskeco
nymph nimfo
digestion digestado
digestion digesto
surpass superi
surpass superatuti
prognosis prognozo
videotape vidbendo
grandiose grandioza
dilapidated kaduka
tilde tildo
silurian siluro
silurian silurio
acupuncture akupunkturo
tricycle triciklo
hypnosis hipnoto
cauldron kaldrono
cushion kuseno
anode anodo
kindle ekbruligi
lunatic frenezulo
anus anuso
acropolis akropolo
plunder rabi
watering akvumado
camelot kameloto
conceive koncipi
eskimo eskimo
harmonious harmonia
sincerity sincereco
sincerity sincero
wallet monujo
uterus utero
youngster junulo
abdication abdiko
deprive senigi
deprive elirigi
deliberation konsidero
loom teksilo
humiliating humiliga
humiliating hontiga
hippo hipopotamo
behold jen
womb utero
executioner ekzekutisto
storming sturmo
storming kuratako
livonia livonio
iliad iliado
incendiary incendia
slavonia slavonio
dismal malhela
dismal mizera
dismal trista
dismal malagrabla
dismal banala
dismal melankolia
dismal malgaja
dismal kompatinda
dismal abomena
dismal morna
dismal malbelega
dismal malserena
anecdote anekdoto
inconvenient malfacila
laotian laosa
flax lino
oats aveno
diligent diligenta
sceptre sceptro
patagonia patagonio
widower vidvo
blasphemy blasfemo
octagon okangulo
belfry belfrido
postman leterportisto
certify certigi
nameless sennoma
majorca majorko
parthian parto
buckle buko
daft frenezeta
sill sojlo
recite deklami
recite reciti
roam migri
roam vagi
banknote bankbileto
sip sorbi
anew denove
delightful rava
overdue nepagita
rattlesnake krotalo
totem totemo
jester arlekeno
unintentional senintenca
spades piko
pheasant fazano
aha ha
aha aha
prudence singardemo
chimes kariljono
chimes sonorilaro
decoy logi
airy aeruma
earthen tera
earthen argila
crucifix krucifikso
cretan kretano
skunk mefito
buffet bufedo
zeeland zelando
asymmetrical malsimetria
asymmetrical nesimetria
skillful lerta
skillful ekzercita
misunderstand miskompreni
acme kulmino
reactionary reakcia
reactionary reakciulo
gist esenco
embodiment enkorpigo
yugoslavian jugoslava
relinquish cedi
spoil difekti
spoil malbonigi
treachery perfido
elegy elegio
barnabas barnabaso
workmen laboristoj
aversion antipatio
treacherous perfida
treacherous perfidema
stool benketo
stool tabureto
nomad nomado
filthy malpura
lilac siringo
lilac lilako
cleft montfendo
sentry gardostaranto
secluded izola
aspire aspiri
compatriot samlandano
compatriot landano
redeemer redemptoro
fowl koko
fowl kokino
coop kokejo
lenient indulga
cassava kasavo
cremation kremacio
aries arieso
flammable brulema
renounce rezigni
veterinarian bestkuracisto
veterinarian veterinaro
hinterland landinterno
hinterland postregiono
betray perfidi
cannibal kanibalo
antidote antidoto
debit debeto
impede obstrukci
hops lupolo
gazelle gazelo
craze furoro
startling surpriza
moraine moreno
gaunt maldika
gaunt senhoma
gaunt angula
gaunt dezerta
gaunt magra
gaunt melankolia
gaunt malgaja
gaunt malgrasa
gaunt morna
silently silente
purgatory purgatorio
accommodating helpema
accommodating cedema
rattle klaki
aster astero
rhododendron rododendro
archimedes arkimedo
adrenaline adrenalino
franconia frankonio
musk mosko
tread suriri
tread treti
zephyr zefiro
hispaniola hispaniolo
mitre mitro
bumblebee burdo
lorry kamiono
procure havigi
amorphous amorfa
ingenious genia
spiritualism spiritismo
participle participo
intoxicated ebria
phobia fobio
oberon oberono
sow semi
sow porkino
deterrent fortimiga
braid plekti
checkers damoj
checkers damludo
quell sufoki
righteousness justeco
limp lami
tigris tigriso
chanson kanzono
abstinence sindeteno
abstinence abstinenco
excitation ekscito
barbadian barbadosa
lessen malpliigi
lira liro
sanctum sanktejo
karelia karelio
millimeter milimetro
circulate cirkuli
songbook kantaro
talon krifo
gypsum gipso
stingray rajo
virgo virgo
deceive trompi
vistula vistulo
endlessly senfine
matron intendantino
paleozoic paleozoiko
dike digo
horus horuso
censure malaprobo
bessarabia besarabio
wallonia valonio
wallonia valonujo
alum aluno
suture suturo
towel mantuko
magpie pigo
aquarius amforo
pentecost pentekosto
bead bido
saucer subtaso
impressionism impresionismo
ascetic asketa
disseminate dissemi
saarland sarlando
drawer tirkesto
shave razi
conforming konforma
mica glimo
subdue submeti
subdue subigi
perseverance persistemo
boast fanfaroni
sofa sofo
sofa kanapo
seagull mevo
bake baki
hearth kameno
hearth fajrejo
agitated ekscitita
abiding restanta
hera hero
chalice kaliko
appease trankviligi
bitterness amareco
briefs kalsoneto
syphilis sifiliso
wares varoj
wares varo
awaken veki
gruesome terura
gruesome abomeninda
gruesome harstariga
commissar komisaro
saliva salivo
irresistible nerezistebla
emmet formiko
thaw degelo
thaw degeli
baal baalo
annotation komentario
aroma aromo
pelvis pelvo
pancake flano
compel devigi
mattress matraco
alibi alibio
bouquet bukedo
alarming alarma
modesty modesto
modesty modesteco
modesty pudoro
modesty diskreteco
whore putino
thwart malfaciligi
inject injekti
eerie harstariga
postpone prokrasti
postpone suspendi
alb albo
alva alvo
arbiter arbitracianto
arbiter arbitro
benzene benzeno
sadistic sadisma
carmelite karmelano
carmelite karmelanino
servitude servuto
brow brovo
mischievous malica
mischievous petolema
cocoon kokono
weser vezero
azalea azaleo
xenon ksenono
centimeter centimetro
excommunication ekskomuniko
excommunication anatemo
mockery moko
mockery mokado
bulky ampleksa
modernize modernigi
independant sendependa
independant memstara
indistinct malklara
louvain loveno
subversion faligo
illuminate lumigi
illuminate ilumini
anion anjono
repentance pento
lapsed kaduka
dill aneto
stow enmeti
stow enfermi
fright timego
rampart remparo
lettuce laktuko
ow aj
briton brito
whim kaprico
beret bireto
balinese balia
macabre makabra
macabre harstariga
beet beta
beet beto
talisman amuleto
