bedroom huoneesta
dam damin
hotels hotellien
justice tuomioistuin
profits voittoja
caused aiheuttanut
attacked hyökkäsi
jews juutalaiset
shot ampui
communications viestinnän
reforms uudistukset
sit istuvat
philadelphia philadelphian
question kysymykseen
enormous valtavia
pages sivua
because koska
heat lämmön
integration yhdentymisen
english englannin
suicide itsemurha
citizenship kansalaisuuden
sun sunin
party puolue
scientist tiedemies
clinical kliinisen
iii iii
learning oppimisen
song laulua
services palvelujen
appendix liitteeseen
regime hallinnon
economic talouden
films elokuvien
parliamentary parlamentaarista
presentation esittely
stadium stadionilla
wine viini
days päivän
chronic kroonisia
blocks lohkot
berlin berliini
necessary välttämätöntä
competition kilpailu
centre keskus
bottle pullon
script käsikirjoitusta
map map
sponsorship sponsorointia
friends ystävät
ocean valtamerta
democracy demokratian
radio radion
steel teräksen
hugh hugh
general yleistä
urban kaupunkien
initiative aloite
wife vaimon
criteria kriteerit
day päivä
tables taulukoita
scholars oppineiden
artist taiteilijan
quality laadun
cultures kulttuurien
media tiedotusvälineiden
iran iran
record record
luxury ylellisyyttä
bedroom makuuhuoneessa
publications julkaisut
families perheille
former entisen
month kuussa
roman roomalainen
actress näyttelijätär
enough tarpeeksi
les les
intervention intervention
words sanoen
language kielen
unit yksikön
independently itsenäisesti
honorary kunniajäseneksi
card kortti
castle linnassa
database tietokannan
theology teologiaan
knows tietävät
internal sisäisten
hunting metsästyksen
infrastructure infrastruktuurin
hosted isännöi
projects hankkeiden
enough riitä
died kuoli
reasons syistä
experiment kokeilu
monument muistomerkkiä
rules sääntöjen
google google
cancer syöpään
quoted lainasi
agenda agenda
sport urheilun
sent lähettänyt
place place
harvard harvard
pakistan pakistanin
painting maalaus
guard kaartin
islamic islamilaisten
rod rodin
conference konferenssin
strategies strategioiden
baker bakerin
visited vieraili
politicians poliitikkojen
helen helen
pope paavi
traditional perinteisten
live elää
snow lunta
agreement sopimus
producers tuottajia
therefore siksi
important tärkeä
strict tiukat
bin bin
plastic muovin
began aloitti
mark mark
supreme ylin
habitats luontotyyppien
american amerikan
continental mannermaisen
stages vaiheissa
liberty liberty
production tuotantoa
restaurant ravintolassa
relations suhteet
restaurants ravintoloiden
guard kaarti
therefore siis
houston houstonissa
media media
too liian
chicago chicagossa
honest rehellinen
fourth neljäs
users käyttäjät
confidence luottamus
guidelines suuntaviivojen
baker baker
westminster westminster
typically tyypillisesti
mills mylly
opponent vastustaja
competing kilpailevat
aberdeen aberdeen
step askel
new uusien
england englannissa
name name
really todellakin
ownership omistajuuden
ward ward
businesses yrityksille
power power
robinson robinson
materials materiaalien
traditional perinteiset
revolution vallankumousta
warm lämpimät
active aktiivisesti
reading käsittelyssä
some jotkut
loves rakastaa
argentina argentiina
banned kielletty
peaceful rauhanomaista
arguments perusteluja
archaeological arkeologisten
proceedings menettelyt
genes geenejä
exclusion syrjäytymisen
disability vammaisuuteen
hotels hotelleissa
legendary legendaarisen
example esimerkki
gates gates
centres keskuksia
decade vuosikymmenen
layer kerroksen
card kortin
imagination mielikuvitusta
budget talousarvio
approaches lähestymistapoja
asia aasiassa
resolution päätöslauselmaa
cathedral katedraalin
logical loogista
portugal portugalissa
receiver vastaanotin
chip mikrosiru
concentrate keskitettävä
wrong väärässä
forever ikuisesti
width leveyttä
offer tarjoavat
violent väkivaltaisia
government hallituksen
conference konferenssi
guarantee taata
threatened uhattuna
revenue tuloja
diversity monimuotoisuus
elections vaaleja
abroad ulkomailla
fair oikeudenmukaista
adventure seikkailun
organized järjestäytynyttä
clan klaani
lectures luentoja
sample otoksen
fifth viidennen
trained koulutettuja
radiation säteilyä
physics fysiikasta
angel enkeli
samuel samuel
three kolme
sweet makeat
oral suullisesta
members jäseniä
workers työntekijöiden
voluntary vapaaehtoista
october lokakuuta
lecturer luennoitsijana
imagine kuvitella
ministers ministerien
waves aallot
different eri
midlands east
enjoy nauttia
thursday torstaina
provincial provinssien
actors toimijat
gardens puutarhoja
decades vuosikymmeninä
succeed onnistua
magazine lehti
proof todisteita
concert konsertti
stars tähteä
matrix muotti
moral moraalista
singer laulaja
johnson johnson
trial oikeudenkäynnin
responsibility responsibility
valuable arvokkaita
official virallista
castle linnan
heating lämmityksen
ago sitten
dates päivämääriä
indoor sisätilojen
king kuningas
dynamics dynamiikan
longer enää
japan japani
citizens kansalaisten
khan khan
posts virkaa
revolutionary vallankumouksellisia
farmers maanviljelijät
house talon
through kautta
died kuollut
indeed todellakin
lights valoja
legendary legendaarista
should olisi
behind taakse
nations kansakuntien
adaptation sopeutuminen
successfully menestyksekkäästi
mere pelkkiä
imperial imperial
tried pyrkineet
cup ominta
changes muutokset
group ryhmän
cat kissa
market markkinoita
toys lelujen
interviews haastatteluihin
now nyt
documentary dokumentin
municipal kunnallisten
understood ymmärtänyt
canal kanavan
desert autiomaassa
susan susan
entitled oikeutettuja
adviser neuvonantajan
basin altaan
tony tony
constitution perustuslakia
cemetery hautausmaalla
husband aviomies
egypt egyptin
temple temppelissä
psychological psykologista
worked toiminut
enemy vihollisen
nuclear nuclear
shell shell
essentially pohjimmiltaan
industrial teollisen
judges tuomareiden
muslims muslimien
once jälleen
declaration julistus
make make
diet ruokavalion
employees työntekijät
storage varastoinnin
popularity suosio
expect odottavat
optical optisen
seventh seitsemäs
editorial toimituksellista
drinks juomien
recycling kierrätystä
impact impact
crimes rikoksista
shots laukauksia
ron ron
handbook käsikirjasta
writers kirjailijat
marketing markkinoinnin
attention huomiota
wise viisaita
supported tukenut
recent hiljattain
button nappia
crisis kriisiin
cup malja
woman nainen
man man
forests metsien
societies yhteiskunnissa
oral suullista
moral moraalinen
far pitkälle
heavy raskaan
her häntä
bishop piispan
voice ääni
microsoft microsoftin
negative kielteinen
portugal portugali
italy italia
packaging pakkausten
relatives sukulaisia
species lajeja
traditional perinteisiä
external ulkoisen
lane luokassaan
earned ansainnut
dollars dollaria
achievements saavutukset
evening illalla
constitution perustuslaki
joined liittyi
strip kaistalla
red punaista
days päivä
diagnosis diagnoosi
heard kuullut
shops kauppoja
this tämä
tom tom
lesson opetus
physically fyysisesti
network verkoston
hotel hotelli
closed päättynyt
adults aikuisten
could olisiko
fully täysimääräisesti
tall katolta
wars sodat
bread leivän
afghanistan afganistania
sony sony
learning oppimiseen
coast länsirannikko
requirements vaatimusten
rose ruusujen
developer rakennuttaja
sectors alojen
tuesday tiistaina
funding rahoituksen
ideas ajatuksia
tension jännitteitä
exceptional poikkeuksellinen
message viesti
iraq irak
moments hetkiä
procedures menettelyt
event tapahtuma
autumn syksynä
practice käytäntöjen
person henkilö
pen kynää
unit yksikkö
spring keväällä
fort fort
socialist sosialistisen
friendship ystävyys
golden kultainen
personal henkilökohtaisen
plates kilpiä
training koulutusta
limits rajoja
solution ratkaisu
prisoners vangit
box boxiin
poetry runous
championships mestaruuskilpailujen
jews juutalaisia
death kuolema
power vallan
option vaihtoehto
safety safety
crimes rikoksiin
camera kameran
sitting istunnossa
precise tarkkoja
term aikavälillä
soldiers sotilaita
assembly edustajakokouksen
tasks tehtävät
spirit hengen
navy merivoimat
elite eliitin
emissions päästöjen
represent edustavat
thing asia
competition kilpailun
summit huippukokousta
blue sinistä
definitions määritelmiä
factors tekijät
sell myydä
meetings kokouksissa
individual yksittäisten
funding rahoitusta
cultural kulttuurisen
voluntary vapaaehtoisia
poverty köyhyyden
only ainoastaan
understood ymmärtäneet
australia australia
name nimi
phd väitteli
archaeological arkeologisen
their niiden
force pakottaa
theories teoriat
ethical eettiset
month kuukauden
rating luokituksen
separate erillistä
artists taiteilijoille
modern nykyaikaisen
cooper cooper
forces voimat
real todellista
solutions ratkaisut
consumers kuluttajille
key keskeiset
seal seal
worldwide maailmanlaajuisesti
cancer syövän
fax faksin
document asiakirja
despite huolimatta
men miehet
plans suunnitelmia
membership jäsenyyttä
davis davisin
media tiedotusvälineitä
weekend viikonlopun
ask kysyä
organisation järjestö
urban urban
victory voiton
all kaikkia
rice rice
steel steel
ports satamissa
countries maiden
past aikaisempi
governor kuvernöörin
economy talouden
newcastle newcastle
still vielä
user käyttäjä
nazi natsien
regulation asetuksen
comic koomista
valley laakso
ohio ohion
guidance ohjausta
vienna wienin
news news
large suuret
financial taloudellista
chocolate suklaata
next seuraavan
architect arkkitehti
residing oleskelevien
medal mitalista
credit credit
castle linnaan
toy lelujen
naval naval
climb kiivetä
mathematical matemaattinen
colour ihonväriin
strange outoa
sum summa
machinery koneiden
producers tuottajille
laws lakien
strategies strategioita
economy taloutta
largely pitkälti
stability vakaus
objectives tavoitteita
helped auttanut
recovery elpymistä
levels tasoilla
left vasemmiston
sailing purjehtivat
publishers kustantajat
offers tarjoaa
grateful kiitollinen
thailand thaimaan
space space
warned varoitti
republic tasavalta
glass lasia
waves aaltoja
championship mestaruuskilpailut
resources varoja
links yhteyksiä
africa afrikan
moral moraalisen
disease taudin
process prosessin
policy politiikka
injured loukkaantui
center center
journey matkan
newspaper sanomalehti
asked pyytänyt
vat arvonlisäveroa
damage vahinkoa
consumers kuluttajat
eastern itäisen
farmers farmers
slow hidas
girl tytön
note merkille
twelve kaksitoista
who jotka
yesterday eilen
spoken puhunut
timber puutavaran
nervous hermoston
evil paha
jobs työpaikkojen
everyone kaikilla
gradually vähitellen
visitors vierailijoita
street streetille
summer kesänä
wire piikkilankaa
judicial oikeudellista
page sivulla
dance tanssia
grades arvosanoja
inspector tarkastaja
theatre teatterin
coast rannikkoa
independence riippumattomuutta
research tutkimukseen
forty neljäkymmentä
sheets osakepääoma
poetry runouden
seats paikkoja
security turvallisuus
decades vuosikymmeniä
dreams unelmia
enemies vihollisia
era aikakauden
interviews haastatteluissa
text tekstiä
clubs seurojen
visits vierailuja
aviation ilmailun
researchers tutkijat
indian intian
strategy strategiaa
common yhteinen
partnership kumppanuuden
disney disneyn
library kirjasto
van van
owners owners
hill hill
knowledge tiedon
safety turvallisuuden
negotiations neuvotteluja
minority vähemmistön
ray ray
agreements sopimuksia
affordable kohtuuhintaisia
places places
demographics väestörakenne
destruction tuhoa
august elokuun
belgium belgiassa
basis pohjalta
birthday syntymäpäivää
thousands tuhannet
pipe juoksuttaa
employment työllisyyttä
emissions päästöjä
engineers insinöörit
then sitten
turkey turkin
white valkoisen
banking banking
inland sisämaan
publicity julkisuutta
monday maanantaina
jordan jordanian
tired väsyneitä
statistics tilastot
cabinet kabinetin
geography maantieteen
citizenship kansalaisuutta
teachers opettajien
polish puolan
wild luonnonvaraisten
correspondence kirjeenvaihtoa
owners omistajat
qualities ominaisuuksia
relationship suhde
databases tietokantoihin
tower torni
devon devon
wireless langattomien
rapid nopean
asia aasian
impression vaikutelman
finally vihdoin
post post
menu ruokalistalla
heat lämpöä
readers lukijat
debt velka
november marraskuuta
decided päätti
federal liittotasavallan
washington washingtonin
procedures menettelyjä
decisions päätökset
horses hevosia
trust trust
foundation säätiö
genetic geneettinen
quebec quebecin
seed siementen
logical johdonmukaista
washington washington
economic taloudellisen
proposal ehdotuksen
jesus jeesuksen
principles periaatteiden
proved osoittautunut
exciting jännittäviä
starting starting
carrier operaattorin
guidelines suuntaviivoja
university yliopistossa
tank polttoainesäiliö
write kirjoittaa
free vapaan
funds varojen
balance tasapainon
guys tyyppejä
own oman
opinion mieltä
discussed keskustelleet
earlier aikaisemmin
weak heikko
sheffield sheffield
glad iloinen
during aikana
rapid nopea
village kylän
visited vieraillut
kids kids
safe turvallista
cemetery hautausmaan
chocolate suklaa
sitting istunnon
waste jätettä
lee leen
grand grand
sport urheilua
position kanta
efficient tehokasta
cheap halpoja
budget talousarvioon
under nojalla
rice riisiä
capture talteenotto
consortium konsortion
iron rautaisen
versions versiot
arrested pidätetty
blue sininen
posts virkoja
artificial keinotekoinen
treasury valtiovarainministeriö
models mallit
lloyd lloyd
models mallien
houston houstonin
judges tuomarit
than than
comfort lohtua
late myöhässä
trends suuntaukset
nervous hermostunut
ports satamiin
portable kannettavien
southern eteläisen
specific erityisiä
logo logo
gary gary
law lainsäädännön
role rooli
people ihmiset
experience kokemusta
cats kissoja
incredible uskomatonta
investors sijoittajille
mitchell mitchellin
wants haluaa
harbour harbour
first ensin
intend aikovat
fourth neljännessä
dental hammashoito
relative suhteellinen
tennis martina
vehicles ajoneuvojen
status aseman
faculty tiedekunnassa
hall hallia
than kuin
targeted kohdennettuja
procedure menettelyä
dennis dennis
agreement sopimuksen
million miljoonan
speakers puhujien
crime rikollisuutta
allow sallia
version versio
california kalifornian
understand ymmärtää
ancient antiikin
normally normaalisti
proper asianmukaista
thin ohut
values arvoja
formal virallisen
migration maahanmuuttoa
stones kiviä
physical fyysistä
tomorrow huomenna
tissue kudoksia
marshall marshallin
heading otsakkeen
demographics väestönkehitys
lost menettänyt
temple temppeli
facilitate helpottaa
huge valtavia
wars sotia
university yliopisto
leader johtaja
restrictions rajoituksia
test testi
politician poliitikon
briefly lyhyesti
customs tulli
entertainment viihteen
sorry pahoillani
complaints valituksia
salary palkan
compensation korvauksia
its sen
likely todennäköistä
home home
estimated arvioitu
girls tyttöjen
maritime merenkulun
crew miehistö
phenomenon ilmiötä
questionnaire kyselylomakkeen
respect respect
project hankkeen
users käyttäjiä
euro euro
why miksi
fifth viidettä
freedom freedom
spending menoja
donald donald
nurse sairaanhoitaja
challenges haasteet
model malli
cinema elokuva
ali alin
isle isle
congress kongressin
islands saaria
joseph joseph
consumption kulutus
productivity tuottavuutta
march marssia
principles periaatteita
privacy privacy
still yhä
ships aluksia
men miesten
forests metsiä
breakfast aamiainen
cultures kulttuurit
president puhemies
geography maantiede
argentina argentiinan
advice neuvoja
photo valokuvan
ticket lipun
learning oppimista
times times
austria itävallan
maritime maritime
skills taidot
blog blogia
friend ystävä
assurance assurance
kitchen keittiön
blocks lohkojen
airlines airlinesin
developers kehittäjien
street street
helped auttaneet
inflation inflaatio
represented edustettuna
has onko
martin martinin
medical lääketieteen
cat kissan
budget talousarviota
families perheitä
fox fox
religion uskonnon
disease tauti
lunch lounasta
action toimiin
visitors vierailijat
busy kiireinen
really todella
illinois illinoisin
instruments välineiden
ministers ministerit
cuts leikkaukset
facility facility
camera ovin
elsewhere muualla
mistake virhettä
silence hiljaisuuden
producer tuottajan
kennedy kennedyn
musician muusikko
reader lukijan
fish kalan
regions alueille
attention huomion
sponsorship sponsoroinnin
bank pankki
game peliä
right oikeassa
statements lausuntoja
each jokaisen
yet vielä
races rotuja
composer säveltäjän
museums museot
company osakeyhtiön
says sanoo
visitor vierailija
morris morris
lower alajuoksulla
indicators indikaattoreita
examples esimerkkejä
climate ilmaston
operators toimijat
footballer jalkapalloilija
practices käytännöt
mutual vastavuoroisen
football jalkapalloa
hong hong
change muutos
serves palvelee
sex sukupuolen
advisor neuvonantajan
battle battle
institutions toimielimet
scotland skotlannin
either joko
scene kohtaus
instruments välineet
harris harrisin
passengers minuuteissa
structural rakenteellisia
was oli
minute minuutin
lease vuokrata
speakers puhujat
freedom vapaus
kent kentissä
federal liittovaltion
reflects heijastaa
bars telkien
versions versioita
allen allen
absolutely ehdottomasti
norwegian norjan
committed sitoutunut
temperature lämpötilaa
wayne wayne
dimensions ulottuvuuksia
business business
qualified päteviä
father isän
orange oranssin
mapping kartoittamiseen
tanks panssarivaunut
evaluation arviointia
faster nopeammin
presentations esitelmiä
factory tehdas
project hanketta
ethics etiikan
protection suojelun
belfast belfastin
secondly toiseksi
largest suurimman
clear selvää
believes uskoo
sick sairas
video videon
vital vital
lake järvi
tim tim
rare harvinaisten
tower tornia
markets markkinoiden
currently parhaillaan
until kunnes
officials virkamiehiä
full täyden
vegetables vihanneksia
david david
sydney sydneyssä
challenging haastava
usually tavallisesti
burn polttavat
towers tornia
moscow moskovan
shorter lyhyempiä
later myöhemmin
lawyers asianajajien
experiment kokeilun
perfect täydellinen
highway tieliikennelain
partnerships kumppanuuksien
confused sekava
dangerous vaarallisia
initiative aloitteen
drivers kuljettajia
gang joukkio
learn oppia
community yhteisö
teaching opetus
impressive vaikuttava
seminars seminaareja
direct suoraa
ireland irlanti
purchase purchase
slowly hitaasti
save pelastaa
title osaston
border rajaa
third kolmansien
exclusive yksinomainen
gods jumalia
club klubin
mixed vaihtelevia
recommendations suositukset
workshop työpajan
happen tapahtua
confirmed vahvistanut
robert robert
author laatija
appeals vetoomuksia
names nimet
novels romaaneista
probably luultavasti
concepts käsitteitä
cook cookin
time kertaa
basically pohjimmiltaan
again kerran
french ranskan
services services
archbishop arkkipiispa
borders rajat
rule sääntö
shoulder rinta
monument monumentti
festivals festivaaleja
truth totuus
average keskimäärin
architects arkkitehtien
former entinen
guilty syyllinen
threat uhka
ticket lippujen
dialogue vuoropuhelu
professor professorin
tank säiliössä
royal kuninkaallista
procedure menettelyn
international kansainvälisen
impact vaikutusten
hungary unkarissa
tournament mestaruuskisoissa
trust luottamuksen
basin altaassa
providers tarjoajien
plan suunnitelma
restaurants ravintoloihin
maryland marylandin
players toimijat
november marraskuussa
ladies hyvät
represent edustaa
germany saksan
public julkisten
launched käynnisti
market markkinoille
partnership kumppanuutta
value lisäarvoa
its its
outside ulkopuolelle
genetic geneettisten
rescue rescue
sister sisarensa
garage korjaamon
marriage avioliitto
actions toimien
trends suuntauksia
provide tarjota
strongly vahvasti
save pelastakaa
particles hiukkasia
oral suullisen
poland puolan
rose rose
publications julkaisujen
hospital sairaalan
dawn dawn
racial rotuun
detroit detroitin
click ellet
team georgialainen
service palvelun
leaders johtajia
normally tavallisesti
cameras kameroiden
exposure altistumisen
anger viha
unique ainutlaatuinen
spirit henkeä
interests etuja
artist taiteilija
brief lyhyttä
prisoners vankeja
ourselves itseämme
guardian guardian
exhibition näyttely
somehow jotenkin
protect suojella
situation tilanteeseen
investors sijoittajia
clubs seurat
hollywood hollywoodin
medicines lääkkeitä
box box
rare harvinaisia
literally kirjaimellisesti
star tähti
festivals juhlapäivien
powered sähköistää
circumstances olosuhteissa
lives elämää
pressure painostusta
norman norman
luck onnea
visual visuaalinen
final lopullisen
simply yksinkertaisesti
aids aidsin
rules säännöt
poverty köyhyyttä
clearly selkeästi
two kaksi
literacy lukutaito
expenditure menojen
coalition koalitio
joined liittyneet
still edelleen
bernard bernard
customers asiakkaita
sexual seksuaalista
double kaksinkertaisen
city city
inflation inflaation
allow sallikaa
ports satamat
association association
drum rumpua
competitors kilpailijat
approach lähestymistavan
clients asiakkaiden
questions kysymyksiä
centre centre
page sivua
reader lukija
issues kysymyksiä
machine koneisto
politics politiikkaan
risk risk
opportunities mahdollisuuksia
important tärkeitä
resigned erosi
sarah sarah
legislation lainsäädännön
users käyttäjien
michael michael
cameras kameroita
effective tehokas
false vääriä
closely tiiviisti
critics arvostelijat
argentina argentiinassa
mechanical mekaaninen
objects esineitä
danish tanskan
consecutive peräkkäisen
hardly tuskin
lead lead
wall muuri
sale myyntiä
leader johtajan
hall hall
voice voice
museum museoon
jimmy jimmy
september syyskuuta
hero sankari
businesses yrityksiä
sacred pyhiä
did teki
managed onnistunut
cruise risteilyillä
plan suunnitelmaa
reality todellisuus
informal epävirallisessa
long kauan
respondents vastanneista
oil öljyn
leaders johtajat
soldiers sotilasta
pen penin
organisations järjestöt
copper kuparin
demand kysynnän
requests pyyntöjä
practices käytäntöjen
unity yhtenäisyys
pot potin
paragraph kohtaa
women naiset
prizes palkintojen
colonial siirtomaavallan
mathematical matemaattisen
massachusetts massachusettsin
damaged vahingoittanut
arts taiteita
satellite satelliitin
plus plus
public julkisen
prices hintoja
officials virkamiehet
crew miehistön
routes reittejä
representation edustusta
cap cap
hardware laitteistojen
drug huumeiden
york yorkissa
fourth neljännen
fear pelkäävät
harvard harvardin
cities kaupunkien
product tuote
tenants vuokralaisten
reveal paljastavat
negotiations neuvotteluissa
his hänen
castle linna
issues yhteisössä
reflection törkeällä
wings siipiä
policy politiikkaa
belgium belgia
programme ohjelma
after jälkeen
administrative hallinnollisia
closure päättäminen
web web
boys poikia
dynamic dynaaminen
application kolmannen
almost lähes
what mitä
vat arvonlisäveron
biology biologiaa
diabetes diabetesta
claim väittävät
direct suoraan
humanity ihmiskuntaa
require edellyttävät
white valkoisesta
sold myydä
legacy perinnön
active aktiivinen
projects hankkeita
crystal crystal
flowers kukat
tell kertoa
digital digitaalisen
beer beer
clients asiakkaat
medium keskipitkän
medicine lääketieteen
supports tukee
help auttaa
campaigns kampanjoita
province maakunnassa
institute instituutin
quality quality
councillor kaupunginvaltuutettu
funding rahoitus
april huhtikuuta
officials virkamiesten
solution ratkaisun
suddenly yhtäkkiä
shakespeare shakespeare
archaeological arkeologisia
arizona arizona
spanish espanja
consumption kulutusta
citizens kansalaisia
july heinäkuuta
people ihmisiä
major suuria
sentence lause
challenge haasteen
france ranskan
islands saarten
rolling rolling
general general
question kysymys
