the los
least menos
click clic
included incluido
type tipo
december diciembre
technology tecnología
received recibido
located situados
industry industria
industry sector
committee comisión
central central
central centrales
river fluviales
river río
night noche
result resultado
months meses
yet aún
yet todavía
performance rendimiento
return regreso
return retorno
return volver
york york
terms términos
network red
near cercano
near próximo
field campo
field champ
field ámbito
political política
political políticas
political político
political políticos
science ciencia
began comenzó
began empezó
director director
village aldea
village plum
village village
value valor
among entre
former antigua
former antiguo
whole conjunto
whole toda
room margen
room sala
black negra
black negras
black negro
done hecho
done realizado
says dice
board junta
keep mantener
individual individual
individual individuales
million millones
february febrero
problem problema
living vida
big big
ever enver
ever nunca
story historia
released liberados
position posición
provides ofrece
provides proporciona
late tarde
professional profesional
professional profesionales
king rey
light luz
according según
thought conciencia
thought pensamiento
games juegos
call llamamiento
companies empresas
plan plan
results resultados
property propiedad
issue asunto
issue cuestión
issue tema
usually normalmente
won ganado
won ganó
child infantil
child niño
advice asesoramiento
advice consejo
advice consejos
taking teniendo
taking toma
activities actividades
total total
cost coste
cost costes
six seis
includes incluye
posted desplazados
david david
hours horas
royal real
royal royal
press prensa
similar similar
similar similares
hand lado
search busca
search búsqueda
environment entorno
half medio
half mitad
visit visita
visit visitar
books books
books libros
software software
close estrecha
internet internet
price precio
price precios
price price
production producción
application aplicación
application solicitud
private privada
private privadas
private privado
private privados
student estudiante
student estudiantil
planning planificación
products productos
space espacial
space espacio
almost casi
modern moderna
modern modernas
modern moderno
modern modernos
recent reciente
recent recientes
changes cambios
evidence prueba
evidence pruebas
term plazo
term término
media media
media medios
knowledge conocimiento
knowledge conocimientos
enough suficiente
enough suficientes
resources recursos
financial financiera
financial financieras
financial financiero
financial financieros
quite bastante
computer informáticos
computer ordenador
complete completa
developed desarrollado
developed desarrollados
note nota
pay pagar
pay salarial
europe europa
clear clara
clear claro
union unión
paper libro
league liga
french francesa
french franceses
french francés
higher higher
higher superior
links vínculos
security seguridad
features características
president presidenta
president presidente
soon pronto
soon soon
stage etapa
stage fase
scotland escocia
popular popular
popular populares
force fuerza
force vigor
article artículo
job job
towards hacia
northern norte
countries países
established establecido
material material
material materiales
word palabra
conditions condiciones
conference conferencia
itself propia
itself propio
title título
minutes acta
minutes minutos
size tamaño
safety safety
safety seguridad
son hijo
low baja
low bajos
outside fuera
song canción
song song
energy energética
energy energía
father padre
created creado
points puntos
library biblioteca
library bibliotecas
green green
green verde
green verdes
hard duro
radio radio
radio radioeléctrico
link vínculo
especially especialmente
teaching enseñanza
teaching enseñar
summer verano
region región
red burocráticos
red roja
red rojo
words palabras
wide amplia
wide wide
sure seguro
sure sure
died muerto
died murieron
lost perdido
asked pedido
model modelo
text texto
added añadido
added impuesto
nature carácter
nature naturaleza
nature nature
award adjudicación
front frente
themselves propios
account account
account cuenta
trust confianza
trust fiduciario
trust trust
address abordar
approach enfoque
approach planteamiento
hall hall
medical medical
medical médica
medical médico
medical médicos
legal jurídica
legal jurídico
legal legal
video vídeo
fire bomberos
fire fuego
fire incendio
fire incendios
limited anónima
limited limitada
limited limitado
limited limitados
limited limited
meet cumplir
likely probable
species amenazadas
species especie
species especies
risk riesgo
writing escrito
thing cosa
records registros
effect efecto
doing haciendo
insurance seguros
projects proyectos
worked trabajado
success éxito
opportunity ocasión
opportunity oportunidad
opportunity opportunity
develop desarrollar
unit unidad
sent enviado
successful éxito
certain ciertos
certain determinados
questions cuestiones
questions preguntas
shows demuestra
shows muestra
player actor
player agente
player player
cases casos
natural natural
natural naturales
strong firme
strong fuerte
rate tasa
average media
james james
army ejército
probably probablemente
sites sitios
previous anterior
previous anteriores
appropriate adecuado
served servido
island insulares
island isla
island island
create crear
round ronda
authority autoridad
authority palestina
paul pablo
paul paul
actually realmente
recently recientemente
recently últimamente
increase aumentar
increase aumento
increase incremento
manager gestor
lord lord
location ubicación
via via
via vía
offers ofrece
guide guiar
guide guide
guide guía
collection recogida
collection recopilación
levels niveles
easy fácil
minister ministro
mark marca
mark mark
source fuente
treatment tratamiento
treatment trato
necessary necesaria
necessary necesarias
necessary necesario
tax fiscal
tax fiscales
tax impuesto
significant significativo
primary primaria
friends amigos
style estilo
military militar
military militares
wales gales
cover cubrir
continue continuar
simply sencillamente
simply simplemente
hospital hospital
allow permitir
direct direct
direct directa
direct directas
direct directo
direct directos
product producto
product productos
content contenido
content contenidos
content content
release liberación
ground terreno
additional adicional
additional adicionales
miles millas
travel travel
travel viajar
travel viaje
travel viajes
potential potencial
perhaps quizá
perhaps quizás
costs costes
german alemana
german alemanes
german alemán
income ingresos
income renta
television televisión
sea eae
sea mar
sea sea
reading lectura
reading reading
ireland irlanda
facilities instalaciones
leave abandonar
nothing nada
western occidental
western occidentales
true cierto
true verdad
deal deal
decision decisión
bit cbi
bit tbi
month mes
hotel hotel
weeks semanas
users usuarios
institute instituto
race carrera
race raza
standards normas
analysis análisis
needed necesaria
needed necesita
transport transporte
transport transportes
basis base
basis fundamento
parts partes
degree grado
hope esperanza
hope hope
arts artes
arts espectáculo
someone alguien
george george
parents padres
division división
difficult difícil
difficult difíciles
ways formas
ways maneras
code código
anyone cualquiera
comments comentarios
comments observaciones
gave dio
commission comisión
simple sencilla
simple sencillo
simple simple
mind cuenta
forward adelante
response respuesta
assessment evaluación
plans planes
campaign campaña
housing vivienda
housing viviendas
route route
route ruta
america américa
structure estructura
executive ejecutiva
executive ejecutivas
executive ejecutivo
executive ejecutivos
william guillermo
william william
peter peter
author autor
author autora
capital capital
capital capitales
followed seguido
greater mayor
organisation organización
pages páginas
courses cursos
amount cantidad
amount importe
chief jefe
organisations organizaciones
culture cultura
sector sector
scottish escocesa
scottish escoceses
scottish escocés
museum museo
players actores
players agentes
players jugadores
applications aplicaciones
applications solicitudes
variety variedad
forms formas
anything nada
excellent excelente
funding financiación
effective efectiva
effective eficaces
effective eficaz
activity actividad
ask ask
ask pedir
ask preguntar
kind especie
kind tipo
equipment equipo
equipment equipos
rest descanso
rest resto
numbers numbers
numbers números
user usuario
traditional tradicional
traditional tradicionales
benefits beneficios
benefits ventajas
cause causa
reports informes
reason motivo
reason razón
views opiniones
understanding comprensión
understanding entendimiento
receive reciben
receive recibir
places lugares
places places
labour laboral
labour laborista
labour laboristas
labour trabajo
card tarjeta
matter asunto
matter cuestión
rock roca
rock rock
environmental medioambiental
environmental medioambientales
responsible responsable
responsible responsables
lower baja
table mesa
buy comprar
shown demostrado
shown mostrado
choice choice
choice elección
finally finalmente
impact impacto
secretary secretaria
secretary secretario
coming advenimiento
coming próximos
apply aplicar
base fundamento
base sociedades
ten diez
ten rte
ten ten
sense sentido
bill bill
bill factura
existing existente
existing existentes
commercial comercial
commercial comerciales
forces fuerzas
decided decidido
middle medio
middle próximo
associated asociadas
associated asociados
associated associated
official oficial
official oficiales
stop stop
add añadir
protection consumidor
protection protección
families familias
message mensaje
materials materiales
materials materias
benefit beneficio
construction construcción
check comprobar
lives vida
lives vidas
basic básica
basic básicas
basic básico
basic básicos
basic fundamental
win ganar
win win
described descrito
requirements requisitos
center center
movement circulación
movement movimiento
share compartir
focus centrarse
focus focus
cup copa
cup taza
regular periódico
regular regular
regular regulares
wife esposa
battle batalla
battle battle
sports deportes
sports deportivas
sports deportivos
completed completado
opportunities oportunidades
theatre teatro
carried llevado
garden garden
garden jardín
consider considerar
contains contiene
reference referencia
send enviar
digital digital
digital digitales
competition competencia
credit crédito
credit créditos
box box
box caja
seven siete
tour gira
tour tour
tour turísticos
developing desarrollar
poor pobres
poor poor
understand comprender
understand entender
effects efectos
effects paso
recorded registrado
agreed acordada
agreed acordado
strategy estrategia
originally inicialmente
originally originalmente
rules normas
rules reglas
beginning comienzo
beginning principio
theory teoría
ability capacidad
ago hace
germany alemania
wish deseo
hill hill
appeared aparecido
morning mañana
morning morning
wrote escribió
individuals individuos
produce producir
earlier anteriormente
fully plenamente
fully totalmente
growth crecimiento
improve mejorar
engineering ingeniería
global global
global mundial
sales sales
famous famosa
famous famoso
famous famosos
types tipos
civil civil
civil civiles
civil públicas
earth tierra
active activa
active activo
michael michael
everything todo
formed formado
married casadas
academic académica
academic académico
academic académicos
academic análisis
senior altos
hold celebrar
hold mantenimiento
expected espera
richard richard
letter carta
letter letra
christian cristiana
christian cristianas
christian cristiano
christian cristianos
sunday domingo
document documento
blue azul
blue azules
contract contractual
contract contrato
railway ferrocarril
railway ferroviaria
railway ferroviarias
railway ferroviario
allowed permitido
learn aprender
southern meridional
southern sur
australia australia
latest últimas
workers trabajadores
methods métodos
kingdom reino
loss pérdida
changed cambiado
plus plus
bridge puente
older mayores
bad mal
bad mala
directly directamente
relationship relaciones
relationship relación
magazine magazine
magazine revista
agreement acuerdo
agency agencia
robert robert
technical técnica
technical técnicas
technical técnico
technical técnicos
build construir
star estrella
star star
sir sir
highly altamente
physical física
physical físicas
physical físico
physical físicos
daily cotidiana
daily daily
daily diaria
daily diario
spent gastado
friend amigo
songs canciones
names names
names nombres
trying tratando
status estatuto
complex compleja
complex complejas
complex complejo
complex complejos
method método
india india
canada canadá
election elecciones
election elección
election electoral
phone telefonía
phone teléfono
phone teléfonos
awards premios
cross cruz
cross cruzar
operation funcionamiento
operation operación
introduced introducido
function funcionar
function función
windows ventanas
windows windows
talk hablar
purpose finalidad
purpose propósito
write escribir
prior previa
prior prior
survey encuesta
employment empleo
employment employment
disease enfermedad
disease enfermedades
thomas thomas
lines lines
lines líneas
customers clientes
uses usos
uses utiliza
speed rapidez
speed velocidad
interested interesadas
interested interesados
cut recorte
welcome bienvenida
welcome bienvenidas
welcome bienvenido
welcome bienvenidos
units unidades
situation situación
leader dirigente
leader leader
leader líder
partnership asociación
presented presentado
presented presentó
buildings edificios
teams equipos
communities comunidades
feature característica
normal normal
normal normales
telephone telefónicas
telephone teléfono
format formato
overall colectiva
overall global
supply abastecimiento
supply suministro
investment inversiones
investment inversión
chance oportunidad
fine fine
evening noche
evening tarde
turned convertido
cultural cultural
cultural culturales
quickly rápidamente
cent ciento
starting partida
discussion discusión
discussion reflexión
woman dama
woman mujer
bbc bbc
teachers profesores
answer respuesta
progress avances
progress progreso
progress progresos
progress progress
announced anunciado
announced anunció
forum foro
attention atención
figure cifra
blood blood
blood sangre
prices precios
engine motor
engine motores
saturday sábado
copy copia
require requieren
authorities autoridades
operations operaciones
customer cliente
square cuadrado
square cuadrados
square plaza
attack ataque
attack atentado
attack attack
jesus jesús
proposed propuesto
sun sol
sun sun
picture imagen
picture panorama
choose elegir
thanks agradecimiento
thanks gracias
parties partes
parties partidos
statement declaración
tel aviv
double doble
setting establecer
allows permite
resource recurso
heard escuchado
heard oído
journal journal
journal oficial
practical práctica
practical prácticas
practical práctico
practical prácticos
entry entrada
majority mayoría
lake lago
plant planta
articles artículos
eight ocho
delivery entrega
opening apertura
programmes programas
parliament parlamento
oxford oxford
california california
friday viernes
gold gold
gold oro
appointed designado
appointed nombrado
africa áfrica
background trasfondo
voice voice
voice voz
images imágenes
aim objetivo
respect respecto
respect respeta
respect respetar
respect respeto
couple par
supported apoyado
approximately aproximadamente
floor palabra
marketing comerciales
marketing comercialización
download descargarse
fund financiar
fund fondo
previously anteriormente
previously previamente
communication comunicación
interesting interesante
interesting interesantes
save ahorrar
save salvar
save save
brown brown
brown marrón
brown moreno
sources fuentes
clearly claramente
serious grave
serious graves
seem parecer
train tren
train trenes
walk andar
walk caminar
charles charles
fall caída
youth juvenil
youth juventud
youth youth
worth pena
holiday vacaciones
stay estancia
stay permanecer
stay quedarse
provision disposición
provision prestación
description descripción
growing creciente
bar abogados
bar bar
bar listón
nearly casi
china burro
china china
china porcelana
alternative alternativa
alternative alternativas
alternative alternativos
positive positiva
positive positivas
positive positivo
positive positivos
mobile móvil
mobile móviles
smith smith
guidance orientación
happy feliz
caused causado
eastern oriental
managed conseguido
managed logrado
sale venta
immediately inmediatamente
immediately inmediato
essential esencial
essential esenciales
essential fundamental
lack falta
aspects aspectos
coast costa
coast costas
coast marfil
map map
map mapa
map ruta
pass pass
hands manos
registered registradas
registered registrado
registered registrados
documents documentos
brother hermano
educational educativas
educational educativo
educational educativos
religious religiosa
religious religiosas
religious religioso
religious religiosos
wall muro
stories historias
elected elegido
elected elegidos
surface superficiales
surface superficie
saying diciendo
step paso
step step
carry llevar
san san
chairman presidente
machine maquinaria
machine máquina
easily fácilmente
examples ejemplos
shop tienda
crime crimen
crime delincuencia
crime delito
reasons motivos
reasons razones
historical histórica
historical históricas
historical histórico
historical históricos
channel canal
channel canalizar
channel mancha
challenge challenge
challenge desafío
challenge reto
regulations reglamentos
kept mantenido
signed firmado
daughter hija
electronic electrónica
electronic electrónicas
electronic electrónico
electronic electrónicos
queen reina
options opciones
option opción
option option
houses casas
houses cámaras
houses viviendas
administration administración
characters caracteres
characters personajes
justice justicia
edition edición
killed asesinados
difference diferencia
fish peces
fish pescado
peace paz
peace peace
moment momento
moment momentos
piece pieza
influence influencia
screen pantalla
reduce reducir
length duración
length longitud
attempt intento
cancer cáncer
interests intereses
interests interés
elements elementos
sign firmar
sign señal
mary mary
except excepto
except salvo
condition condición
manchester manchester
transfer transferencia
dead difuntos
dead muerta
dead muerto
dead muertos
enjoy disfrutar
wrong equivocado
selection selección
artists artistas
fun diversión
fun divertido
roman roman
roman romana
roman romano
techniques disponibles
techniques técnicas
joint común
joint conjunta
joint conjunto
joint paritaria
request petición
request solicitud
files archivos
files expedientes
advanced avanzada
advanced avanzadas
advanced avanzado
advanced avanzados
huge enorme
huge enormes
selected seleccionados
register registro
door puerta
door puertas
dance bailar
dance baile
dance danza
aid ayuda
aid ayudas
initial inicial
initial iniciales
rule art
rule artículo
rule estado
rule norma
thinking pensando
finished terminado
clinical clínica
clinical clínicas
clinical clínico
clinical clínicos
japanese japonesa
japanese japoneses
japanese japonés
japan japón
models modelos
charity caridad
fair fair
fair justa
fair justo
reach alcanzar
reach reach
rural rural
rural rurales
aircraft aircraft
aircraft aviones
female femenina
female femenino
monday lunes
teacher profesor
break romper
hear escuchar
hear oír
prime primer
damage daño
damage daños
leaving dejando
industrial industrial
industrial industriales
waste residuos
master maestro
master másteres
films films
films películas
meaning significado
exchange exchange
exchange intercambio
gas gas
window ventana
hot caliente
bus autobuses
bus autobús
census censo
pupils alumnos
properties propiedades
target target
championship campeonato
winter invierno
detailed detallada
detailed detalladas
detailed detallado
context contexto
scientific científica
scientific científicas
scientific científico
scientific científicos
values valores
completely completamente
completely totalmente
economy economía
distance distancia
critical crítica
critical crítico
critical críticos
ship barco
ship buque
ship organizaciones
henry enrique
henry henry
stock stock
castle castillo
castle castle
solution solución
accommodation alojamiento
goal objetivo
publication publicación
importance importancia
chapter capítulo
closed cerrado
mainly principalmente
safe segura
safe seguro
safe seguros
jobs empleo
jobs empleos
ball balón
ball pelota
appeal apelación
appeal llamamiento
feet pies
policies políticas
memory memoria
memory recuerdo
assembly asamblea
patient paciente
patient pacientes
achieve alcanzar
achieve conseguir
achieve lograr
literature literatura
sort especie
sort tipo
print impresos
external exterior
external exteriores
external externos
external servicio
grand gran
christmas navidad
remained permanecido
specialist especializada
specialist especializadas
specialist especializados
martin martin
animal animal
animal animales
helped ayudado
helped contribuido
farm farm
bay bahía
bay golfo
bay raya
client cliente
cambridge cambridge
edinburgh edimburgo
meetings reuniones
avoid evitar
figures cifras
figures figures
weight peso
identified identificado
eyes ojos
mental mental
mental mentales
grant conceder
grant grant
scene escena
scene escenario
sport deporte
finance financiar
finance finanzas
finance hacienda
residents residentes
replaced sustituido
novel novela
gone ido
copyright copyright
iraq iraq
dark oscuro
dark oscuros
cars automóviles
cars cars
cars coches
tools herramientas
watch watch
capacity capacidad
washington washington
payment pago
mission misión
goods bienes
goods mercancías
spring primavera
deep profunda
deep profundo
comment comentario
comment observación
internal interior
internal interna
direction dirección
baby baby
baby bebé
posts puestos
academy academia
session sesión
christ cristo
christ jesucristo
forest bosque
forest forest
forest forestal
forest forestales
wood madera
wood wood
winning ganar
musical musical
musical musicales
numerous numerosas
numerous numerosos
visitors visitantes
firm firme
firm firmes
volume volumen
indian india
indian indio
indian índico
failed fracasado
doctor médico
summary resumen
nor tampoco
mountain montaña
mountain montañosas
mountain mountain
accepted aceptado
irish irlandesa
irish irlandeses
irish irlandés
exercise ejercer
exercise ejercicio
achieved conseguido
achieved logrado
identify identificar
circumstances circunstancias
aware consciente
aware conscientes
calls pide
promote fomentar
promote promover
mass masiva
mass misa
organization organización
maximum máxima
maximum máximo
heavy pesados
leaders dirigentes
leaders líderes
african africana
african africano
african africanos
clients clientes
perfect perfecta
perfect perfecto
spirit espíritu
matters asuntos
matters cuestiones
solutions soluciones
spanish español
spanish española
spanish españoles
tree árbol
communications comunicaciones
minimum mínima
minimum mínimas
minimum mínimo
minimum mínimos
effort esfuerzo
prevent evitar
prevent impedir
prevent prevenir
parish parish
parish parroquia
drug drug
lived vivido
chris chris
australian australiana
australian australiano
demand demanda
demand exigir
letters cartas
letters notas
nice agradable
nice niza
task tarea
legislation legislación
legislation luchar
beach beach
beach playa
artist artista
cards cards
cards tarjetas
fight lucha
scale escala
scale magnitud
powerful poderosa
powerful poderoso
powerful poderosos
fourth cuarta
fourth cuarto
concept concepto
ltd ltd
core núcleo
port oporto
port port
port portuarias
port portuarios
port puerto
institutions instituciones
continues continúa
trial juicio
historic histórica
historic histórico
creating creación
creating crear
partner socio
contemporary contemporánea
contemporary contemporáneo
plays desempeña
publications publicaciones
plants plantas
nuclear nuclear
nuclear nucleares
editor editor
editor redactor
editor redactora
extremely extremadamente
extremely sumamente
processes procesos
accept aceptar
ready dispuesta
ready dispuestos
ready preparados
weather meteorológicas
employees empleados
coach autocar
coach autocares
native materna
girls girls
girls niñas
prepared dispuesta
prepared dispuesto
prepared dispuestos
none ninguna
none ninguno
rooms habitaciones
rooms salas
factors factores
index index
index índice
server servidor
debate debate
bodies organismos
bodies órganos
freedom libertad
mentioned mencionado
encourage fomentar
italian italiana
italian italiano
italian italianos
spread propagación
knew sabía
knew sabían
fields campos
reduced reducido
russian rusa
russian rusas
russian ruso
russian rusos
faith faith
forced obligados
campus campus
funds estructurales
funds fondos
agree acuerdo
suggested sugerido
classes clases
experienced experimentado
requires exige
requires requiere
secure secure
husband marido
adult adulta
adult adultas
adult adulto
adult adultos
flight flight
flight vuelo
boys boys
boys chicos
girl chica
girl niña
medicine medicamento
medicine medicina
seat escaño
seat sede
thursday jueves
discuss debatir
discuss discutir
functions funciones
nine nueve
purchase adquisiciones
purchase adquisición
purchase compra
dedicated dedicada
dedicated dedicado
accounts cuentas
serve servir
bed cama
branch rama
republic república
canadian canadiense
canadian canadienses
removed eliminado
discovered descubierto
chosen elegido
chosen optado
reviews revisiones
trip viaje
extended ampliado
failure fracaso
presence presencia
covers abarca
covers cubre
multiple múltiple
multiple múltiples
believed creído
defined definido
lies reside
edge borde
cities ciudades
creation creación
framework marco
appearance aparición
appearance apariencia
appearance comparecencia
references referencias
driving conducción
improved mejorado
steve steve
paris parís
cold fría
cold frío
balance balance
balance equilibrio
nations naciones
partners interlocutores
partners socios
speak hablar
pictures imágenes
obtained obtenido
obtained obtenidos
rich rica
rich rico
rich ricos
powers competencias
powers poderes
ideal ideal
secondary secundaria
secondary secundario
host acogida
refer refiero
seemed parecía
leadership liderazgo
efforts esfuerzos
defence defensa
episode episodio
correct correcta
correct correcto
correct corregir
province provincia
principles principios
glass cristal
glass vaso
glass vidrio
miss miss
arms armas
decisions decisiones
jones jones
whatever independientemente
whatever mal
dog perro
tony tony
raise plantear
italy italia
advantage ventaja
clubs clubes
actions acciones
registration registro
goals objetivos
trees árboles
mike mike
tom tom
federal federal
federal federales
islands islas
brief breve
brief breves
pain dolor
duty deber
duty obligación
combined combinada
combined combinado
sell vender
concerns preocupaciones
situated situada
situated situados
procedures procedimientos
initially inicialmente
truth verdad
updated actualizada
updated actualizado
strategic estratégica
strategic estratégicas
strategic estratégico
strategic estratégicos
steps pasos
arrangements disposiciones
attend asistir
panel panel
showed demostró
centres centros
strength fortaleza
strength fuerza
planned prevista
male masculinos
budget presupuesto
loan préstamo
prince prince
prince príncipe
testing pruebas
rail ferrocarril
rail ferroviario
rail rail
birds aves
spain españa
fans aficionados
mrs señora
standing permanente
writer escritor
interview entrevista
administrative administrativa
administrative administrativas
administrative administrativo
administrative administrativos
tuesday martes
owner propietario
wind eólica
wind viento
birth nacimiento
birth natalidad
widely ampliamente
captain capitán
silver plata
silver plateada
visual visual
visual visuales
represented representada
represented representado
represented representados
greek griega
greek griegas
greek griego
greek griegos
gallery galería
gallery tribuna
sections secciones
slightly ligeramente
agent agente
glasgow glasgow
formal formal
formal formales
boat barco
acts actos
proposals propuestas
marriage matrimonio
presentation presentación
agents agentes
nation nación
relating relativas
relating relativos
equal equal
equal igualdad
etc etcétera
exactly exactamente
climate clima
climate climático
spend gastar
generation generación
shopping compras
jack jack
metal metal
objects objetos
opinion dictamen
opinion opinión
heritage herencia
heritage patrimonio
remaining restantes
bought comprado
package paquete
copies copias
copies ejemplares
andrew andrew
maintenance mantenimiento
voluntary voluntaria
voluntary voluntario
voluntary voluntarios
stations estaciones
affairs asuntos
launch lanzamiento
launch lanzar
fell cayó
possibly posiblemente
laws leyes
prize premio
fellow compañeros
fellow estimados
fellow fellow
feeling sensación
feeling sentimiento
happened ocurrido
happened sucedido
drugs droga
drugs drogas
path camino
path vía
camp camp
camp campamento
unable incapaz
draw llamar
contain contener
contain contienen
shared compartida
shared compartido
shared compartidos
detail detalle
detail detalles
advance antemano
chair presidir
ice hielo
ice hockey
actual reales
horse caballo
household domésticos
van van
minute minuto
judge juez
judge juzgar
cast emitidos
committed comprometido
tower torre
quick quick
recommended recomendado
fax fax
express expresar
express express
update actualización
update actualizar
thousands miles
texas texas
entertainment entretenimiento
foot foot
foot pie
minor menor
minor menores
journey viaje
phase fase
victory victoria
identity identidad
suggest sugerir
lane carril
talking hablando
initiative iniciativa
awareness conciencia
fixed fijo
contents contenidos
stars estrellas
debut debut
permanent permanente
permanent permanentes
specifically concretamente
specifically específicamente
israel israel
offices oficinas
practices prácticas
sciences ciencias
dates fechas
conservation conservación
rose rosa
doubt duda
seek buscar
leaves deja
charges tasas
agencies agencias
schemes levantarían
religion religiosa
religion religión
element elemento
affected afectadas
affected afectados
commitment compromiso
fuel combustible
managing gerente
managing gestionar
procedure procedimiento
tool electrónica
tool herramienta
households hogares
navy marina
navy navy
assistant asistente
assistant ayudante
holy santa
holy santo
hearing audiencia
instance instancia
experiences experiencias
approved aprobada
approved aprobado
assistance asistencia
assistance ayuda
vehicles vehículos
holding holding
category categoría
newspaper periódico
primarily principalmente
directory directorio
heat calor
