los the
demostrar show
feria show
mostrar show
show show
importante important
importantes important
contacto contact
izquierda left
nórdica left
gestión management
serie series
formación training
agua water
age age
edad age
line line
línea line
social social
sociales social
gama range
meno main
principal main
principales main
llegado come
quieren want
página page
informe report
escala level
nivel level
occidental west
oeste west
personal staff
cine film
cinematográfica film
película film
ocasiones times
tiempos times
times times
veces times
ciudad town
miembro member
miembros member
acceso access
ejemplo example
estadounidense american
joven young
jóvenes young
young young
grandes major
major major
dar give
abierta open
abierto open
open open
punto point
haber having
oficina office
país country
hombre man
man man
capaz able
partido party
posible possible
posibles possible
iglesia church
zonas areas
ámbitos areas
áreas areas
nunca never
junto together
juntos together
detalles details
derecho law
ley law
poder power
power power
marzo march
construcción building
edificio building
junio june
colegio college
aprendizaje learning
design design
diseño design
este east
oriente east
haz put
poned put
news news
noticia news
noticias news
pimienta once
proceso process
junio list
lista list
junto along
decir say
control control
nacido born
nacidos born
estudio study
study study
asistencia care
care care
cuidado care
inglaterra england
hacer making
programa programme
condado county
condados county
septiembre september
desempeñar play
elche play
pesar though
julio july
siempre always
días days
tuvo took
inglesa english
inglés english
web web
act act
acto act
actuar act
ley act
tca act
sociedad society
society society
realmente really
semana week
debido due
opinión view
view view
vista view
publicado published
publicó published
mejor better
mejorar better
especial special
especiales special
cuestiones issues
temas issues
hoy today
menos less
política policy
lado side
side side
dios god
octubre october
calidad quality
sección section
visto seen
departamento department
temporada season
otros others
leer read
leído read
read read
periodo period
período period
cinco five
única single
único single
parque park
cosas things
fecha date
online online
acción action
mujer women
mujeres women
siglo century
asunto subject
tema subject
extremo far
far far
lejano far
calle street
street street
población population
cabeza head
jefe head
práctica practice
prácticas practice
clave key
live live
vivas live
viven live
vivir live
medios means
significa means
comenzar start
empezar start
start start
enero january
mercado market
sistemas systems
systems systems
caf car
coche car
actual present
presente present
dinero money
necesidades needs
necesita needs
human human
humana human
humano human
humanos human
banda band
hombres men
grupos groups
álbum album
noviembre november
algo something
desempeñado played
actualmente currently
problemas problems
interés interest
estación station
land land
tierra land
tierras land
agosto august
augusta august
augusto august
escuelas schools
personal personal
personales personal
europea european
europeo european
tribunal court
revisar review
revisión review
muerte death
pena death
alimentaria food
alimentos food
art art
arte art
final final
última final
hecho fact
idioma language
language language
lengua language
lenguaje language
amor love
cuerpo body
organismo body
órgano body
tercer third
tercera third
terceros third
acontecimientos events
sucesos events
diferentes various
distintos various
diversas various
diversos various
especial particular
particular particular
construido built
comunes common
común common
air air
aire air
aérea air
aéreo air
breve short
corto short
short short
oferta offer
ofrecer offer
reunión meeting
auténtico real
real real
reales real
empresa works
funciona works
obras works
menos least
clic click
incluido included
tipo type
diciembre december
tecnología technology
recibido received
situados located
industria industry
sector industry
comisión committee
central central
centrales central
fluviales river
río river
noche night
resultado result
meses months
aún yet
todavía yet
rendimiento performance
regreso return
retorno return
volver return
york york
términos terms
red network
cercano near
próximo near
campo field
champ field
ámbito field
política political
políticas political
político political
políticos political
ciencia science
comenzó began
empezó began
director director
aldea village
plum village
village village
valor value
entre among
antigua former
antiguo former
conjunto whole
toda whole
margen room
sala room
negra black
negras black
negro black
hecho done
realizado done
dice says
junta board
mantener keep
individual individual
individuales individual
millones million
febrero february
problema problem
vida living
big big
enver ever
nunca ever
historia story
liberados released
posición position
ofrece provides
proporciona provides
tarde late
profesional professional
profesionales professional
rey king
luz light
según according
conciencia thought
pensamiento thought
juegos games
llamamiento call
empresas companies
plan plan
resultados results
propiedad property
asunto issue
cuestión issue
tema issue
normalmente usually
ganado won
ganó won
infantil child
niño child
asesoramiento advice
consejo advice
consejos advice
teniendo taking
toma taking
actividades activities
total total
coste cost
costes cost
seis six
incluye includes
desplazados posted
david david
horas hours
real royal
royal royal
prensa press
similar similar
similares similar
lado hand
busca search
búsqueda search
entorno environment
medio half
mitad half
visita visit
visitar visit
books books
libros books
software software
estrecha close
internet internet
precio price
precios price
price price
producción production
aplicación application
solicitud application
privada private
privadas private
privado private
privados private
estudiante student
estudiantil student
planificación planning
productos products
espacial space
espacio space
casi almost
moderna modern
modernas modern
moderno modern
modernos modern
reciente recent
recientes recent
cambios changes
prueba evidence
pruebas evidence
plazo term
término term
media media
medios media
conocimiento knowledge
conocimientos knowledge
suficiente enough
suficientes enough
recursos resources
financiera financial
financieras financial
financiero financial
financieros financial
bastante quite
informáticos computer
ordenador computer
completa complete
desarrollado developed
desarrollados developed
nota note
pagar pay
salarial pay
europa europe
clara clear
claro clear
unión union
libro paper
liga league
francesa french
franceses french
francés french
higher higher
superior higher
vínculos links
seguridad security
características features
presidenta president
presidente president
pronto soon
soon soon
etapa stage
fase stage
escocia scotland
popular popular
populares popular
fuerza force
vigor force
artículo article
job job
hacia towards
norte northern
países countries
establecido established
material material
materiales material
palabra word
condiciones conditions
conferencia conference
propia itself
propio itself
título title
acta minutes
minutos minutes
tamaño size
safety safety
seguridad safety
hijo son
baja low
bajos low
fuera outside
canción song
song song
energética energy
energía energy
padre father
creado created
puntos points
biblioteca library
bibliotecas library
green green
verde green
verdes green
duro hard
radio radio
radioeléctrico radio
vínculo link
especialmente especially
enseñanza teaching
enseñar teaching
verano summer
región region
burocráticos red
roja red
rojo red
palabras words
amplia wide
wide wide
seguro sure
sure sure
muerto died
murieron died
perdido lost
pedido asked
modelo model
texto text
añadido added
impuesto added
carácter nature
naturaleza nature
nature nature
adjudicación award
frente front
propios themselves
account account
cuenta account
confianza trust
fiduciario trust
trust trust
abordar address
enfoque approach
planteamiento approach
hall hall
medical medical
médica medical
médico medical
médicos medical
jurídica legal
jurídico legal
legal legal
vídeo video
bomberos fire
fuego fire
incendio fire
incendios fire
anónima limited
limitada limited
limitado limited
limitados limited
limited limited
cumplir meet
probable likely
amenazadas species
especie species
especies species
riesgo risk
escrito writing
cosa thing
registros records
efecto effect
haciendo doing
seguros insurance
proyectos projects
trabajado worked
éxito success
ocasión opportunity
oportunidad opportunity
opportunity opportunity
desarrollar develop
unidad unit
enviado sent
éxito successful
ciertos certain
determinados certain
cuestiones questions
preguntas questions
demuestra shows
muestra shows
actor player
agente player
player player
casos cases
natural natural
naturales natural
firme strong
fuerte strong
tasa rate
media average
james james
ejército army
probablemente probably
sitios sites
anterior previous
anteriores previous
adecuado appropriate
servido served
insulares island
isla island
island island
crear create
ronda round
autoridad authority
palestina authority
pablo paul
paul paul
realmente actually
recientemente recently
últimamente recently
aumentar increase
aumento increase
incremento increase
gestor manager
lord lord
ubicación location
via via
vía via
ofrece offers
guiar guide
guide guide
guía guide
recogida collection
recopilación collection
niveles levels
fácil easy
ministro minister
marca mark
mark mark
fuente source
tratamiento treatment
trato treatment
necesaria necessary
necesarias necessary
necesario necessary
fiscal tax
fiscales tax
impuesto tax
significativo significant
primaria primary
amigos friends
estilo style
militar military
militares military
gales wales
cubrir cover
continuar continue
sencillamente simply
simplemente simply
hospital hospital
permitir allow
direct direct
directa direct
directas direct
directo direct
directos direct
producto product
productos product
contenido content
contenidos content
content content
liberación release
terreno ground
adicional additional
adicionales additional
millas miles
travel travel
viajar travel
viaje travel
viajes travel
potencial potential
quizá perhaps
quizás perhaps
costes costs
alemana german
alemanes german
alemán german
ingresos income
renta income
televisión television
eae sea
mar sea
sea sea
lectura reading
reading reading
irlanda ireland
instalaciones facilities
abandonar leave
nada nothing
occidental western
occidentales western
cierto true
verdad true
deal deal
decisión decision
cbi bit
tbi bit
mes month
hotel hotel
semanas weeks
usuarios users
instituto institute
carrera race
raza race
normas standards
análisis analysis
necesaria needed
necesita needed
transporte transport
transportes transport
base basis
fundamento basis
partes parts
grado degree
esperanza hope
hope hope
artes arts
espectáculo arts
alguien someone
george george
padres parents
división division
difícil difficult
difíciles difficult
formas ways
maneras ways
código code
cualquiera anyone
comentarios comments
observaciones comments
dio gave
comisión commission
sencilla simple
sencillo simple
simple simple
cuenta mind
adelante forward
respuesta response
evaluación assessment
planes plans
campaña campaign
vivienda housing
viviendas housing
route route
ruta route
américa america
estructura structure
ejecutiva executive
ejecutivas executive
ejecutivo executive
ejecutivos executive
guillermo william
william william
peter peter
autor author
autora author
capital capital
capitales capital
seguido followed
mayor greater
organización organisation
páginas pages
cursos courses
cantidad amount
importe amount
jefe chief
organizaciones organisations
cultura culture
sector sector
escocesa scottish
escoceses scottish
escocés scottish
museo museum
actores players
agentes players
jugadores players
aplicaciones applications
solicitudes applications
variedad variety
formas forms
nada anything
excelente excellent
financiación funding
efectiva effective
eficaces effective
eficaz effective
actividad activity
ask ask
pedir ask
preguntar ask
especie kind
tipo kind
equipo equipment
equipos equipment
descanso rest
resto rest
numbers numbers
números numbers
usuario user
tradicional traditional
tradicionales traditional
beneficios benefits
ventajas benefits
causa cause
informes reports
motivo reason
razón reason
opiniones views
comprensión understanding
entendimiento understanding
reciben receive
recibir receive
lugares places
places places
laboral labour
laborista labour
laboristas labour
trabajo labour
tarjeta card
asunto matter
cuestión matter
roca rock
rock rock
medioambiental environmental
medioambientales environmental
responsable responsible
responsables responsible
baja lower
mesa table
comprar buy
demostrado shown
mostrado shown
choice choice
elección choice
finalmente finally
impacto impact
secretaria secretary
secretario secretary
advenimiento coming
próximos coming
aplicar apply
fundamento base
sociedades base
diez ten
rte ten
ten ten
sentido sense
bill bill
factura bill
existente existing
existentes existing
comercial commercial
comerciales commercial
fuerzas forces
decidido decided
medio middle
próximo middle
asociadas associated
asociados associated
associated associated
oficial official
oficiales official
stop stop
añadir add
consumidor protection
protección protection
familias families
mensaje message
materiales materials
materias materials
beneficio benefit
construcción construction
comprobar check
vida lives
vidas lives
básica basic
básicas basic
básico basic
básicos basic
fundamental basic
ganar win
win win
descrito described
requisitos requirements
center center
circulación movement
movimiento movement
compartir share
centrarse focus
focus focus
copa cup
taza cup
periódico regular
regular regular
regulares regular
esposa wife
batalla battle
battle battle
deportes sports
deportivas sports
deportivos sports
completado completed
oportunidades opportunities
teatro theatre
llevado carried
garden garden
jardín garden
considerar consider
contiene contains
referencia reference
enviar send
digital digital
digitales digital
competencia competition
crédito credit
créditos credit
box box
caja box
siete seven
gira tour
tour tour
turísticos tour
desarrollar developing
pobres poor
poor poor
comprender understand
entender understand
efectos effects
paso effects
registrado recorded
acordada agreed
acordado agreed
estrategia strategy
inicialmente originally
originalmente originally
normas rules
reglas rules
comienzo beginning
principio beginning
teoría theory
capacidad ability
hace ago
alemania germany
deseo wish
hill hill
aparecido appeared
mañana morning
morning morning
escribió wrote
individuos individuals
producir produce
anteriormente earlier
plenamente fully
totalmente fully
crecimiento growth
mejorar improve
ingeniería engineering
global global
mundial global
sales sales
famosa famous
famoso famous
famosos famous
tipos types
civil civil
civiles civil
públicas civil
tierra earth
activa active
activo active
michael michael
todo everything
formado formed
casadas married
académica academic
académico academic
académicos academic
análisis academic
altos senior
celebrar hold
mantenimiento hold
espera expected
richard richard
carta letter
letra letter
cristiana christian
cristianas christian
cristiano christian
cristianos christian
domingo sunday
documento document
azul blue
azules blue
contractual contract
contrato contract
ferrocarril railway
ferroviaria railway
ferroviarias railway
ferroviario railway
permitido allowed
aprender learn
meridional southern
sur southern
australia australia
últimas latest
trabajadores workers
métodos methods
reino kingdom
pérdida loss
cambiado changed
plus plus
puente bridge
mayores older
mal bad
mala bad
directamente directly
relaciones relationship
relación relationship
magazine magazine
revista magazine
acuerdo agreement
agencia agency
robert robert
técnica technical
técnicas technical
técnico technical
técnicos technical
construir build
estrella star
star star
sir sir
altamente highly
física physical
físicas physical
físico physical
físicos physical
cotidiana daily
daily daily
diaria daily
diario daily
gastado spent
amigo friend
canciones songs
names names
nombres names
tratando trying
estatuto status
compleja complex
complejas complex
complejo complex
complejos complex
método method
india india
canadá canada
elecciones election
elección election
electoral election
telefonía phone
teléfono phone
teléfonos phone
premios awards
cruz cross
cruzar cross
funcionamiento operation
operación operation
introducido introduced
funcionar function
función function
ventanas windows
windows windows
hablar talk
finalidad purpose
propósito purpose
escribir write
previa prior
prior prior
encuesta survey
empleo employment
employment employment
enfermedad disease
enfermedades disease
thomas thomas
lines lines
líneas lines
clientes customers
usos uses
utiliza uses
rapidez speed
velocidad speed
interesadas interested
interesados interested
recorte cut
bienvenida welcome
bienvenidas welcome
bienvenido welcome
bienvenidos welcome
unidades units
situación situation
dirigente leader
leader leader
líder leader
asociación partnership
presentado presented
presentó presented
edificios buildings
equipos teams
comunidades communities
característica feature
normal normal
normales normal
telefónicas telephone
teléfono telephone
formato format
colectiva overall
global overall
abastecimiento supply
suministro supply
inversiones investment
inversión investment
oportunidad chance
fine fine
noche evening
tarde evening
convertido turned
cultural cultural
culturales cultural
rápidamente quickly
ciento cent
partida starting
discusión discussion
reflexión discussion
dama woman
mujer woman
bbc bbc
profesores teachers
respuesta answer
avances progress
progreso progress
progresos progress
progress progress
anunciado announced
anunció announced
foro forum
atención attention
cifra figure
blood blood
sangre blood
precios prices
motor engine
motores engine
sábado saturday
copia copy
requieren require
autoridades authorities
operaciones operations
cliente customer
cuadrado square
cuadrados square
plaza square
ataque attack
atentado attack
attack attack
jesús jesus
propuesto proposed
sol sun
sun sun
imagen picture
panorama picture
elegir choose
agradecimiento thanks
gracias thanks
partes parties
partidos parties
declaración statement
aviv tel
doble double
establecer setting
permite allows
recurso resource
escuchado heard
oído heard
journal journal
oficial journal
práctica practical
prácticas practical
práctico practical
prácticos practical
entrada entry
mayoría majority
lago lake
planta plant
artículos articles
ocho eight
entrega delivery
apertura opening
programas programmes
parlamento parliament
oxford oxford
california california
viernes friday
gold gold
oro gold
designado appointed
nombrado appointed
áfrica africa
trasfondo background
voice voice
voz voice
imágenes images
objetivo aim
respecto respect
respeta respect
respetar respect
respeto respect
par couple
apoyado supported
aproximadamente approximately
palabra floor
comerciales marketing
comercialización marketing
descargarse download
financiar fund
fondo fund
anteriormente previously
previamente previously
comunicación communication
interesante interesting
interesantes interesting
ahorrar save
salvar save
save save
brown brown
marrón brown
moreno brown
fuentes sources
claramente clearly
grave serious
graves serious
parecer seem
tren train
trenes train
andar walk
caminar walk
charles charles
caída fall
juvenil youth
juventud youth
youth youth
pena worth
vacaciones holiday
estancia stay
permanecer stay
quedarse stay
disposición provision
prestación provision
descripción description
creciente growing
abogados bar
bar bar
listón bar
casi nearly
burro china
china china
porcelana china
alternativa alternative
alternativas alternative
alternativos alternative
positiva positive
positivas positive
positivo positive
positivos positive
móvil mobile
móviles mobile
smith smith
orientación guidance
feliz happy
causado caused
oriental eastern
conseguido managed
logrado managed
venta sale
inmediatamente immediately
inmediato immediately
esencial essential
esenciales essential
fundamental essential
falta lack
aspectos aspects
costa coast
costas coast
marfil coast
map map
mapa map
ruta map
pass pass
manos hands
registradas registered
registrado registered
registrados registered
documentos documents
hermano brother
educativas educational
educativo educational
educativos educational
religiosa religious
religiosas religious
religioso religious
religiosos religious
muro wall
historias stories
elegido elected
elegidos elected
superficiales surface
superficie surface
diciendo saying
paso step
step step
llevar carry
san san
presidente chairman
maquinaria machine
máquina machine
fácilmente easily
ejemplos examples
tienda shop
crimen crime
delincuencia crime
delito crime
motivos reasons
razones reasons
histórica historical
históricas historical
histórico historical
históricos historical
canal channel
canalizar channel
mancha channel
challenge challenge
desafío challenge
reto challenge
reglamentos regulations
mantenido kept
firmado signed
hija daughter
electrónica electronic
electrónicas electronic
electrónico electronic
electrónicos electronic
reina queen
opciones options
opción option
option option
casas houses
cámaras houses
viviendas houses
administración administration
caracteres characters
personajes characters
justicia justice
edición edition
asesinados killed
diferencia difference
peces fish
pescado fish
paz peace
peace peace
momento moment
momentos moment
pieza piece
influencia influence
pantalla screen
reducir reduce
duración length
longitud length
intento attempt
cáncer cancer
intereses interests
interés interests
elementos elements
firmar sign
señal sign
mary mary
excepto except
salvo except
condición condition
manchester manchester
transferencia transfer
difuntos dead
muerta dead
muerto dead
muertos dead
disfrutar enjoy
equivocado wrong
selección selection
artistas artists
diversión fun
divertido fun
roman roman
romana roman
romano roman
disponibles techniques
técnicas techniques
común joint
conjunta joint
conjunto joint
paritaria joint
petición request
solicitud request
archivos files
expedientes files
avanzada advanced
avanzadas advanced
avanzado advanced
avanzados advanced
enorme huge
enormes huge
seleccionados selected
registro register
puerta door
puertas door
bailar dance
baile dance
danza dance
ayuda aid
ayudas aid
inicial initial
iniciales initial
art rule
artículo rule
estado rule
norma rule
pensando thinking
terminado finished
clínica clinical
clínicas clinical
clínico clinical
clínicos clinical
japonesa japanese
japoneses japanese
japonés japanese
japón japan
modelos models
caridad charity
fair fair
justa fair
justo fair
alcanzar reach
reach reach
rural rural
rurales rural
aircraft aircraft
aviones aircraft
femenina female
femenino female
lunes monday
profesor teacher
romper break
escuchar hear
oír hear
primer prime
daño damage
daños damage
dejando leaving
industrial industrial
industriales industrial
residuos waste
maestro master
másteres master
films films
películas films
significado meaning
exchange exchange
intercambio exchange
gas gas
ventana window
caliente hot
autobuses bus
autobús bus
censo census
alumnos pupils
propiedades properties
target target
campeonato championship
invierno winter
detallada detailed
detalladas detailed
detallado detailed
contexto context
científica scientific
científicas scientific
científico scientific
científicos scientific
valores values
completamente completely
totalmente completely
economía economy
distancia distance
crítica critical
crítico critical
críticos critical
barco ship
buque ship
organizaciones ship
enrique henry
henry henry
stock stock
castillo castle
castle castle
solución solution
alojamiento accommodation
objetivo goal
publicación publication
importancia importance
capítulo chapter
cerrado closed
principalmente mainly
segura safe
seguro safe
seguros safe
empleo jobs
empleos jobs
balón ball
pelota ball
apelación appeal
llamamiento appeal
pies feet
políticas policies
memoria memory
recuerdo memory
asamblea assembly
paciente patient
pacientes patient
alcanzar achieve
conseguir achieve
lograr achieve
literatura literature
especie sort
tipo sort
impresos print
exterior external
exteriores external
externos external
servicio external
gran grand
navidad christmas
permanecido remained
especializada specialist
especializadas specialist
especializados specialist
martin martin
animal animal
animales animal
ayudado helped
contribuido helped
farm farm
bahía bay
golfo bay
raya bay
cliente client
cambridge cambridge
edimburgo edinburgh
reuniones meetings
evitar avoid
cifras figures
figures figures
peso weight
identificado identified
ojos eyes
mental mental
mentales mental
conceder grant
grant grant
escena scene
escenario scene
deporte sport
financiar finance
finanzas finance
hacienda finance
residentes residents
sustituido replaced
novela novel
ido gone
copyright copyright
iraq iraq
oscuro dark
oscuros dark
automóviles cars
cars cars
coches cars
herramientas tools
watch watch
capacidad capacity
washington washington
pago payment
misión mission
bienes goods
mercancías goods
primavera spring
profunda deep
profundo deep
comentario comment
observación comment
interior internal
interna internal
dirección direction
baby baby
bebé baby
puestos posts
academia academy
sesión session
cristo christ
jesucristo christ
bosque forest
forest forest
forestal forest
forestales forest
madera wood
wood wood
ganar winning
musical musical
musicales musical
numerosas numerous
numerosos numerous
visitantes visitors
firme firm
firmes firm
volumen volume
india indian
indio indian
índico indian
fracasado failed
médico doctor
resumen summary
tampoco nor
montaña mountain
montañosas mountain
mountain mountain
aceptado accepted
irlandesa irish
irlandeses irish
irlandés irish
ejercer exercise
ejercicio exercise
conseguido achieved
logrado achieved
identificar identify
circunstancias circumstances
consciente aware
conscientes aware
pide calls
fomentar promote
promover promote
masiva mass
misa mass
organización organization
máxima maximum
máximo maximum
pesados heavy
dirigentes leaders
líderes leaders
africana african
africano african
africanos african
clientes clients
perfecta perfect
perfecto perfect
espíritu spirit
asuntos matters
cuestiones matters
soluciones solutions
español spanish
española spanish
españoles spanish
árbol tree
comunicaciones communications
mínima minimum
mínimas minimum
mínimo minimum
mínimos minimum
esfuerzo effort
evitar prevent
impedir prevent
prevenir prevent
parish parish
parroquia parish
drug drug
vivido lived
chris chris
australiana australian
australiano australian
demanda demand
exigir demand
cartas letters
notas letters
agradable nice
niza nice
tarea task
legislación legislation
luchar legislation
beach beach
playa beach
artista artist
cards cards
tarjetas cards
lucha fight
escala scale
magnitud scale
poderosa powerful
poderoso powerful
poderosos powerful
cuarta fourth
cuarto fourth
concepto concept
ltd ltd
núcleo core
oporto port
port port
portuarias port
portuarios port
puerto port
instituciones institutions
continúa continues
juicio trial
histórica historic
histórico historic
creación creating
crear creating
socio partner
contemporánea contemporary
contemporáneo contemporary
desempeña plays
publicaciones publications
plantas plants
nuclear nuclear
nucleares nuclear
editor editor
redactor editor
redactora editor
extremadamente extremely
sumamente extremely
procesos processes
aceptar accept
dispuesta ready
dispuestos ready
preparados ready
meteorológicas weather
empleados employees
autocar coach
autocares coach
materna native
girls girls
niñas girls
dispuesta prepared
dispuesto prepared
dispuestos prepared
ninguna none
ninguno none
habitaciones rooms
salas rooms
factores factors
index index
índice index
servidor server
debate debate
organismos bodies
órganos bodies
libertad freedom
mencionado mentioned
fomentar encourage
italiana italian
italiano italian
italianos italian
propagación spread
sabía knew
sabían knew
campos fields
reducido reduced
rusa russian
rusas russian
ruso russian
rusos russian
faith faith
obligados forced
campus campus
estructurales funds
fondos funds
acuerdo agree
sugerido suggested
clases classes
experimentado experienced
exige requires
requiere requires
secure secure
marido husband
adulta adult
adultas adult
adulto adult
adultos adult
flight flight
vuelo flight
boys boys
chicos boys
chica girl
niña girl
medicamento medicine
medicina medicine
escaño seat
sede seat
jueves thursday
debatir discuss
discutir discuss
funciones functions
nueve nine
adquisiciones purchase
adquisición purchase
compra purchase
dedicada dedicated
dedicado dedicated
cuentas accounts
servir serve
cama bed
rama branch
república republic
canadiense canadian
canadienses canadian
eliminado removed
descubierto discovered
elegido chosen
optado chosen
revisiones reviews
viaje trip
ampliado extended
fracaso failure
presencia presence
abarca covers
cubre covers
múltiple multiple
múltiples multiple
creído believed
definido defined
reside lies
borde edge
ciudades cities
creación creation
marco framework
aparición appearance
apariencia appearance
comparecencia appearance
referencias references
conducción driving
mejorado improved
steve steve
parís paris
fría cold
frío cold
balance balance
equilibrio balance
naciones nations
interlocutores partners
socios partners
hablar speak
imágenes pictures
obtenido obtained
obtenidos obtained
rica rich
rico rich
ricos rich
competencias powers
poderes powers
ideal ideal
secundaria secondary
secundario secondary
acogida host
refiero refer
parecía seemed
liderazgo leadership
esfuerzos efforts
defensa defence
episodio episode
correcta correct
correcto correct
corregir correct
provincia province
principios principles
cristal glass
vaso glass
vidrio glass
miss miss
armas arms
decisiones decisions
jones jones
independientemente whatever
mal whatever
perro dog
tony tony
plantear raise
italia italy
ventaja advantage
clubes clubs
acciones actions
registro registration
objetivos goals
árboles trees
mike mike
tom tom
federal federal
federales federal
islas islands
breve brief
breves brief
dolor pain
deber duty
obligación duty
combinada combined
combinado combined
vender sell
preocupaciones concerns
situada situated
situados situated
procedimientos procedures
inicialmente initially
verdad truth
actualizada updated
actualizado updated
estratégica strategic
estratégicas strategic
estratégico strategic
estratégicos strategic
pasos steps
disposiciones arrangements
asistir attend
panel panel
demostró showed
centros centres
fortaleza strength
fuerza strength
prevista planned
masculinos male
presupuesto budget
préstamo loan
prince prince
príncipe prince
pruebas testing
ferrocarril rail
ferroviario rail
rail rail
aves birds
españa spain
aficionados fans
señora mrs
permanente standing
escritor writer
entrevista interview
administrativa administrative
administrativas administrative
administrativo administrative
administrativos administrative
martes tuesday
propietario owner
eólica wind
viento wind
nacimiento birth
natalidad birth
ampliamente widely
capitán captain
plata silver
plateada silver
visual visual
visuales visual
representada represented
representado represented
representados represented
griega greek
griegas greek
griego greek
griegos greek
galería gallery
tribuna gallery
secciones sections
ligeramente slightly
agente agent
glasgow glasgow
formal formal
formales formal
barco boat
actos acts
propuestas proposals
matrimonio marriage
presentación presentation
agentes agents
nación nation
relativas relating
relativos relating
equal equal
igualdad equal
etcétera etc
exactamente exactly
clima climate
climático climate
gastar spend
generación generation
compras shopping
jack jack
metal metal
objetos objects
dictamen opinion
opinión opinion
herencia heritage
patrimonio heritage
restantes remaining
comprado bought
paquete package
copias copies
ejemplares copies
andrew andrew
mantenimiento maintenance
voluntaria voluntary
voluntario voluntary
voluntarios voluntary
estaciones stations
asuntos affairs
lanzamiento launch
lanzar launch
cayó fell
posiblemente possibly
leyes laws
premio prize
compañeros fellow
estimados fellow
fellow fellow
sensación feeling
sentimiento feeling
ocurrido happened
sucedido happened
droga drugs
drogas drugs
camino path
vía path
camp camp
campamento camp
incapaz unable
llamar draw
contener contain
contienen contain
compartida shared
compartido shared
compartidos shared
detalle detail
detalles detail
antemano advance
presidir chair
hielo ice
hockey ice
reales actual
caballo horse
domésticos household
van van
minuto minute
juez judge
juzgar judge
emitidos cast
comprometido committed
torre tower
quick quick
recomendado recommended
fax fax
expresar express
express express
actualización update
actualizar update
miles thousands
texas texas
entretenimiento entertainment
foot foot
pie foot
menor minor
menores minor
viaje journey
fase phase
victoria victory
identidad identity
sugerir suggest
carril lane
hablando talking
iniciativa initiative
conciencia awareness
fijo fixed
contenidos contents
estrellas stars
debut debut
permanente permanent
permanentes permanent
concretamente specifically
específicamente specifically
israel israel
oficinas offices
prácticas practices
ciencias sciences
fechas dates
conservación conservation
rosa rose
duda doubt
buscar seek
deja leaves
tasas charges
agencias agencies
levantarían schemes
religiosa religion
religión religion
elemento element
afectadas affected
afectados affected
compromiso commitment
combustible fuel
gerente managing
gestionar managing
procedimiento procedure
electrónica tool
herramienta tool
hogares households
marina navy
navy navy
asistente assistant
ayudante assistant
santa holy
santo holy
audiencia hearing
instancia instance
experiencias experiences
aprobada approved
aprobado approved
asistencia assistance
ayuda assistance
vehículos vehicles
holding holding
categoría category
periódico newspaper
principalmente primarily
directorio directory
calor heat
