huoneesta bedroom
anthony anthony
välittömästi immediate
earl earl
lause phrase
sisällä within
terry terry
seikkailuihin adventures
valuutta currency
järjestelmällinen systematic
hyvä good
perinteitä traditions
ongelma problem
halvempaa cheaper
kortista card
children children
hintojen price
hiukset hair
pääsiäistä easter
puhuessani speaking
matematiikassa mathematics
luulo musician
hinta price
julkisesti publicly
paketti package
teknisiä technical
cup cup
kruunu crown
vähän little
kriisiä crisis
lämpötila temperature
catherine catherine
kirkkoja churches
rajoja borders
englantia english
prinsessa princess
kirjallisuutta literature
apple apple
suuresti greatly
ylimääräisiä extra
testejä tests
ohjelmistoja software
hevosten horses
poikien boys
menettely procedure
jerusalemin jerusalem
eniten most
sotilas soldier
kokouksia meetings
kellot bell
vastustajien opponents
elektroniikkaa electronics
pöytäkirja minutes
joka which
parkista park
parhaiten best
seksuaalinen sexual
hyvinvointia welfare
jerusalem jerusalem
luonnonmukaista organic
sairaiden sick
clothes clothes
kenraali general
super super
kohden per
damin dam
hotellien hotels
tuomioistuin justice
voittoja profits
aiheuttanut caused
hyökkäsi attacked
juutalaiset jews
ampui shot
viestinnän communications
uudistukset reforms
istuvat sit
philadelphian philadelphia
kysymykseen question
valtavia enormous
sivua pages
koska because
lämmön heat
yhdentymisen integration
englannin english
itsemurha suicide
kansalaisuuden citizenship
sunin sun
puolue party
tiedemies scientist
kliinisen clinical
iii iii
oppimisen learning
laulua song
palvelujen services
liitteeseen appendix
hallinnon regime
talouden economic
elokuvien films
parlamentaarista parliamentary
esittely presentation
stadionilla stadium
viini wine
päivän days
kroonisia chronic
lohkot blocks
berliini berlin
välttämätöntä necessary
kilpailu competition
keskus centre
pullon bottle
käsikirjoitusta script
map map
sponsorointia sponsorship
ystävät friends
valtamerta ocean
demokratian democracy
radion radio
teräksen steel
hugh hugh
yleistä general
kaupunkien urban
aloite initiative
vaimon wife
kriteerit criteria
päivä day
taulukoita tables
oppineiden scholars
taiteilijan artist
laadun quality
kulttuurien cultures
tiedotusvälineiden media
iran iran
record record
ylellisyyttä luxury
makuuhuoneessa bedroom
julkaisut publications
perheille families
entisen former
kuussa month
roomalainen roman
näyttelijätär actress
tarpeeksi enough
les les
intervention intervention
sanoen words
kielen language
yksikön unit
itsenäisesti independently
kunniajäseneksi honorary
kortti card
linnassa castle
tietokannan database
teologiaan theology
tietävät knows
sisäisten internal
metsästyksen hunting
infrastruktuurin infrastructure
isännöi hosted
hankkeiden projects
riitä enough
kuoli died
syistä reasons
kokeilu experiment
muistomerkkiä monument
sääntöjen rules
google google
syöpään cancer
lainasi quoted
agenda agenda
urheilun sport
lähettänyt sent
place place
harvard harvard
pakistanin pakistan
maalaus painting
kaartin guard
islamilaisten islamic
rodin rod
konferenssin conference
strategioiden strategies
bakerin baker
vieraili visited
poliitikkojen politicians
helen helen
paavi pope
perinteisten traditional
elää live
lunta snow
sopimus agreement
tuottajia producers
siksi therefore
tärkeä important
tiukat strict
bin bin
muovin plastic
aloitti began
mark mark
ylin supreme
luontotyyppien habitats
amerikan american
mannermaisen continental
vaiheissa stages
liberty liberty
tuotantoa production
ravintolassa restaurant
suhteet relations
ravintoloiden restaurants
kaarti guard
siis therefore
houstonissa houston
media media
liian too
chicagossa chicago
rehellinen honest
neljäs fourth
käyttäjät users
luottamus confidence
suuntaviivojen guidelines
baker baker
westminster westminster
tyypillisesti typically
mylly mills
vastustaja opponent
kilpailevat competing
aberdeen aberdeen
askel step
uusien new
englannissa england
name name
todellakin really
omistajuuden ownership
ward ward
yrityksille businesses
power power
robinson robinson
materiaalien materials
perinteiset traditional
vallankumousta revolution
lämpimät warm
aktiivisesti active
käsittelyssä reading
jotkut some
rakastaa loves
argentiina argentina
kielletty banned
rauhanomaista peaceful
perusteluja arguments
arkeologisten archaeological
menettelyt proceedings
geenejä genes
syrjäytymisen exclusion
vammaisuuteen disability
hotelleissa hotels
legendaarisen legendary
esimerkki example
gates gates
keskuksia centres
vuosikymmenen decade
kerroksen layer
kortin card
mielikuvitusta imagination
talousarvio budget
lähestymistapoja approaches
aasiassa asia
päätöslauselmaa resolution
katedraalin cathedral
loogista logical
portugalissa portugal
vastaanotin receiver
mikrosiru chip
keskitettävä concentrate
väärässä wrong
ikuisesti forever
leveyttä width
tarjoavat offer
väkivaltaisia violent
hallituksen government
konferenssi conference
taata guarantee
uhattuna threatened
tuloja revenue
monimuotoisuus diversity
vaaleja elections
ulkomailla abroad
oikeudenmukaista fair
seikkailun adventure
järjestäytynyttä organized
klaani clan
luentoja lectures
otoksen sample
viidennen fifth
koulutettuja trained
säteilyä radiation
fysiikasta physics
enkeli angel
samuel samuel
kolme three
makeat sweet
suullisesta oral
jäseniä members
työntekijöiden workers
vapaaehtoista voluntary
lokakuuta october
luennoitsijana lecturer
kuvitella imagine
ministerien ministers
aallot waves
eri different
east midlands
nauttia enjoy
torstaina thursday
provinssien provincial
toimijat actors
puutarhoja gardens
vuosikymmeninä decades
onnistua succeed
lehti magazine
todisteita proof
konsertti concert
tähteä stars
muotti matrix
moraalista moral
laulaja singer
johnson johnson
oikeudenkäynnin trial
responsibility responsibility
arvokkaita valuable
virallista official
linnan castle
lämmityksen heating
sitten ago
päivämääriä dates
sisätilojen indoor
kuningas king
dynamiikan dynamics
enää longer
japani japan
kansalaisten citizens
khan khan
virkaa posts
vallankumouksellisia revolutionary
maanviljelijät farmers
talon house
kautta through
kuollut died
todellakin indeed
valoja lights
legendaarista legendary
olisi should
taakse behind
kansakuntien nations
sopeutuminen adaptation
menestyksekkäästi successfully
pelkkiä mere
imperial imperial
pyrkineet tried
ominta cup
muutokset changes
ryhmän group
kissa cat
markkinoita market
lelujen toys
haastatteluihin interviews
nyt now
dokumentin documentary
kunnallisten municipal
ymmärtänyt understood
kanavan canal
autiomaassa desert
susan susan
oikeutettuja entitled
neuvonantajan adviser
altaan basin
tony tony
perustuslakia constitution
hautausmaalla cemetery
aviomies husband
egyptin egypt
temppelissä temple
psykologista psychological
toiminut worked
vihollisen enemy
nuclear nuclear
shell shell
pohjimmiltaan essentially
teollisen industrial
tuomareiden judges
muslimien muslims
jälleen once
julistus declaration
make make
ruokavalion diet
työntekijät employees
varastoinnin storage
suosio popularity
odottavat expect
optisen optical
seitsemäs seventh
toimituksellista editorial
juomien drinks
kierrätystä recycling
impact impact
rikoksista crimes
laukauksia shots
ron ron
käsikirjasta handbook
kirjailijat writers
markkinoinnin marketing
huomiota attention
viisaita wise
tukenut supported
hiljattain recent
nappia button
kriisiin crisis
malja cup
nainen woman
man man
metsien forests
yhteiskunnissa societies
suullista oral
moraalinen moral
pitkälle far
raskaan heavy
häntä her
piispan bishop
ääni voice
microsoftin microsoft
kielteinen negative
portugali portugal
italia italy
pakkausten packaging
sukulaisia relatives
lajeja species
perinteisiä traditional
ulkoisen external
luokassaan lane
ansainnut earned
dollaria dollars
saavutukset achievements
illalla evening
perustuslaki constitution
liittyi joined
kaistalla strip
punaista red
päivä days
diagnoosi diagnosis
kuullut heard
kauppoja shops
tämä this
tom tom
opetus lesson
fyysisesti physically
verkoston network
hotelli hotel
päättynyt closed
aikuisten adults
olisiko could
täysimääräisesti fully
katolta tall
sodat wars
leivän bread
afganistania afghanistan
sony sony
oppimiseen learning
länsirannikko coast
vaatimusten requirements
ruusujen rose
rakennuttaja developer
alojen sectors
tiistaina tuesday
rahoituksen funding
ajatuksia ideas
jännitteitä tension
poikkeuksellinen exceptional
viesti message
irak iraq
hetkiä moments
menettelyt procedures
tapahtuma event
syksynä autumn
käytäntöjen practice
henkilö person
kynää pen
yksikkö unit
keväällä spring
fort fort
sosialistisen socialist
ystävyys friendship
kultainen golden
henkilökohtaisen personal
kilpiä plates
koulutusta training
rajoja limits
ratkaisu solution
vangit prisoners
boxiin box
runous poetry
mestaruuskilpailujen championships
juutalaisia jews
kuolema death
vallan power
vaihtoehto option
safety safety
rikoksiin crimes
kameran camera
istunnossa sitting
tarkkoja precise
aikavälillä term
sotilaita soldiers
edustajakokouksen assembly
tehtävät tasks
hengen spirit
merivoimat navy
eliitin elite
päästöjen emissions
edustavat represent
asia thing
kilpailun competition
huippukokousta summit
sinistä blue
määritelmiä definitions
tekijät factors
myydä sell
kokouksissa meetings
yksittäisten individual
rahoitusta funding
kulttuurisen cultural
vapaaehtoisia voluntary
köyhyyden poverty
ainoastaan only
ymmärtäneet understood
australia australia
nimi name
väitteli phd
arkeologisen archaeological
niiden their
pakottaa force
teoriat theories
eettiset ethical
kuukauden month
luokituksen rating
erillistä separate
taiteilijoille artists
nykyaikaisen modern
cooper cooper
voimat forces
todellista real
ratkaisut solutions
kuluttajille consumers
keskeiset key
seal seal
maailmanlaajuisesti worldwide
syövän cancer
faksin fax
asiakirja document
huolimatta despite
miehet men
suunnitelmia plans
jäsenyyttä membership
davisin davis
tiedotusvälineitä media
viikonlopun weekend
kysyä ask
järjestö organisation
urban urban
voiton victory
kaikkia all
rice rice
steel steel
satamissa ports
maiden countries
aikaisempi past
kuvernöörin governor
talouden economy
newcastle newcastle
vielä still
käyttäjä user
natsien nazi
asetuksen regulation
koomista comic
laakso valley
ohion ohio
ohjausta guidance
wienin vienna
news news
suuret large
taloudellista financial
suklaata chocolate
seuraavan next
arkkitehti architect
oleskelevien residing
mitalista medal
credit credit
linnaan castle
lelujen toy
naval naval
kiivetä climb
matemaattinen mathematical
ihonväriin colour
outoa strange
summa sum
koneiden machinery
tuottajille producers
lakien laws
strategioita strategies
taloutta economy
pitkälti largely
vakaus stability
tavoitteita objectives
auttanut helped
elpymistä recovery
tasoilla levels
vasemmiston left
purjehtivat sailing
kustantajat publishers
tarjoaa offers
kiitollinen grateful
thaimaan thailand
space space
varoitti warned
tasavalta republic
lasia glass
aaltoja waves
mestaruuskilpailut championship
varoja resources
yhteyksiä links
afrikan africa
moraalisen moral
taudin disease
prosessin process
politiikka policy
loukkaantui injured
center center
matkan journey
sanomalehti newspaper
pyytänyt asked
arvonlisäveroa vat
vahinkoa damage
kuluttajat consumers
itäisen eastern
farmers farmers
hidas slow
tytön girl
merkille note
kaksitoista twelve
jotka who
eilen yesterday
puhunut spoken
puutavaran timber
hermoston nervous
paha evil
työpaikkojen jobs
kaikilla everyone
vähitellen gradually
vierailijoita visitors
streetille street
kesänä summer
piikkilankaa wire
oikeudellista judicial
sivulla page
tanssia dance
arvosanoja grades
tarkastaja inspector
teatterin theatre
rannikkoa coast
riippumattomuutta independence
tutkimukseen research
neljäkymmentä forty
osakepääoma sheets
runouden poetry
paikkoja seats
turvallisuus security
vuosikymmeniä decades
unelmia dreams
vihollisia enemies
aikakauden era
haastatteluissa interviews
tekstiä text
seurojen clubs
vierailuja visits
ilmailun aviation
tutkijat researchers
intian indian
strategiaa strategy
yhteinen common
kumppanuuden partnership
disneyn disney
kirjasto library
van van
owners owners
hill hill
tiedon knowledge
turvallisuuden safety
neuvotteluja negotiations
vähemmistön minority
ray ray
sopimuksia agreements
kohtuuhintaisia affordable
places places
väestörakenne demographics
tuhoa destruction
elokuun august
belgiassa belgium
pohjalta basis
syntymäpäivää birthday
tuhannet thousands
juoksuttaa pipe
työllisyyttä employment
päästöjä emissions
insinöörit engineers
sitten then
turkin turkey
valkoisen white
banking banking
sisämaan inland
julkisuutta publicity
maanantaina monday
jordanian jordan
väsyneitä tired
tilastot statistics
kabinetin cabinet
maantieteen geography
kansalaisuutta citizenship
opettajien teachers
puolan polish
luonnonvaraisten wild
kirjeenvaihtoa correspondence
omistajat owners
ominaisuuksia qualities
suhde relationship
tietokantoihin databases
torni tower
devon devon
langattomien wireless
nopean rapid
aasian asia
vaikutelman impression
vihdoin finally
post post
ruokalistalla menu
lämpöä heat
lukijat readers
velka debt
marraskuuta november
päätti decided
liittotasavallan federal
washingtonin washington
menettelyjä procedures
päätökset decisions
hevosia horses
trust trust
säätiö foundation
geneettinen genetic
quebecin quebec
siementen seed
johdonmukaista logical
washington washington
taloudellisen economic
ehdotuksen proposal
jeesuksen jesus
periaatteiden principles
osoittautunut proved
jännittäviä exciting
starting starting
operaattorin carrier
suuntaviivoja guidelines
yliopistossa university
polttoainesäiliö tank
kirjoittaa write
vapaan free
varojen funds
tasapainon balance
tyyppejä guys
oman own
mieltä opinion
keskustelleet discussed
aikaisemmin earlier
heikko weak
sheffield sheffield
iloinen glad
aikana during
nopea rapid
kylän village
vieraillut visited
kids kids
turvallista safe
hautausmaan cemetery
suklaa chocolate
istunnon sitting
jätettä waste
leen lee
grand grand
urheilua sport
kanta position
tehokasta efficient
halpoja cheap
talousarvioon budget
nojalla under
riisiä rice
talteenotto capture
konsortion consortium
rautaisen iron
versiot versions
pidätetty arrested
sininen blue
virkoja posts
keinotekoinen artificial
valtiovarainministeriö treasury
mallit models
lloyd lloyd
mallien models
houstonin houston
tuomarit judges
than than
lohtua comfort
myöhässä late
suuntaukset trends
hermostunut nervous
satamiin ports
kannettavien portable
eteläisen southern
erityisiä specific
logo logo
gary gary
lainsäädännön law
rooli role
ihmiset people
kokemusta experience
kissoja cats
uskomatonta incredible
sijoittajille investors
mitchellin mitchell
haluaa wants
harbour harbour
ensin first
aikovat intend
neljännessä fourth
hammashoito dental
suhteellinen relative
martina tennis
ajoneuvojen vehicles
aseman status
tiedekunnassa faculty
hallia hall
kuin than
kohdennettuja targeted
menettelyä procedure
dennis dennis
sopimuksen agreement
miljoonan million
puhujien speakers
rikollisuutta crime
sallia allow
versio version
kalifornian california
ymmärtää understand
antiikin ancient
normaalisti normally
asianmukaista proper
ohut thin
arvoja values
virallisen formal
maahanmuuttoa migration
kiviä stones
fyysistä physical
huomenna tomorrow
kudoksia tissue
marshallin marshall
otsakkeen heading
väestönkehitys demographics
menettänyt lost
temppeli temple
helpottaa facilitate
valtavia huge
sotia wars
yliopisto university
johtaja leader
rajoituksia restrictions
testi test
poliitikon politician
lyhyesti briefly
tulli customs
viihteen entertainment
pahoillani sorry
valituksia complaints
palkan salary
korvauksia compensation
sen its
todennäköistä likely
home home
arvioitu estimated
tyttöjen girls
merenkulun maritime
miehistö crew
ilmiötä phenomenon
kyselylomakkeen questionnaire
respect respect
hankkeen project
käyttäjiä users
euro euro
miksi why
viidettä fifth
freedom freedom
menoja spending
donald donald
sairaanhoitaja nurse
haasteet challenges
malli model
elokuva cinema
alin ali
isle isle
kongressin congress
saaria islands
joseph joseph
kulutus consumption
tuottavuutta productivity
marssia march
periaatteita principles
privacy privacy
yhä still
aluksia ships
miesten men
metsiä forests
aamiainen breakfast
kulttuurit cultures
puhemies president
maantiede geography
argentiinan argentina
neuvoja advice
valokuvan photo
lipun ticket
oppimista learning
times times
itävallan austria
maritime maritime
taidot skills
blogia blog
ystävä friend
assurance assurance
keittiön kitchen
lohkojen blocks
airlinesin airlines
kehittäjien developers
street street
auttaneet helped
inflaatio inflation
edustettuna represented
onko has
martinin martin
lääketieteen medical
kissan cat
talousarviota budget
perheitä families
fox fox
uskonnon religion
tauti disease
lounasta lunch
toimiin action
vierailijat visitors
kiireinen busy
todella really
illinoisin illinois
välineiden instruments
ministerit ministers
leikkaukset cuts
facility facility
ovin camera
muualla elsewhere
virhettä mistake
hiljaisuuden silence
tuottajan producer
kennedyn kennedy
muusikko musician
lukijan reader
kalan fish
alueille regions
huomion attention
sponsoroinnin sponsorship
pankki bank
peliä game
oikeassa right
lausuntoja statements
jokaisen each
vielä yet
rotuja races
säveltäjän composer
museot museums
osakeyhtiön company
sanoo says
vierailija visitor
morris morris
alajuoksulla lower
indikaattoreita indicators
esimerkkejä examples
ilmaston climate
toimijat operators
jalkapalloilija footballer
käytännöt practices
vastavuoroisen mutual
jalkapalloa football
hong hong
muutos change
palvelee serves
sukupuolen sex
neuvonantajan advisor
battle battle
toimielimet institutions
skotlannin scotland
joko either
kohtaus scene
välineet instruments
harrisin harris
minuuteissa passengers
rakenteellisia structural
oli was
minuutin minute
vuokrata lease
puhujat speakers
vapaus freedom
kentissä kent
liittovaltion federal
heijastaa reflects
telkien bars
versioita versions
allen allen
ehdottomasti absolutely
norjan norwegian
sitoutunut committed
lämpötilaa temperature
wayne wayne
ulottuvuuksia dimensions
business business
päteviä qualified
isän father
oranssin orange
kartoittamiseen mapping
panssarivaunut tanks
arviointia evaluation
nopeammin faster
esitelmiä presentations
tehdas factory
hanketta project
etiikan ethics
suojelun protection
belfastin belfast
toiseksi secondly
suurimman largest
selvää clear
uskoo believes
sairas sick
videon video
vital vital
järvi lake
tim tim
harvinaisten rare
tornia tower
markkinoiden markets
parhaillaan currently
kunnes until
virkamiehiä officials
täyden full
vihanneksia vegetables
david david
sydneyssä sydney
haastava challenging
tavallisesti usually
polttavat burn
tornia towers
moskovan moscow
lyhyempiä shorter
myöhemmin later
asianajajien lawyers
kokeilun experiment
täydellinen perfect
tieliikennelain highway
kumppanuuksien partnerships
sekava confused
vaarallisia dangerous
aloitteen initiative
kuljettajia drivers
joukkio gang
oppia learn
yhteisö community
opetus teaching
vaikuttava impressive
seminaareja seminars
suoraa direct
irlanti ireland
purchase purchase
hitaasti slowly
pelastaa save
osaston title
rajaa border
kolmansien third
yksinomainen exclusive
jumalia gods
klubin club
vaihtelevia mixed
suositukset recommendations
työpajan workshop
tapahtua happen
vahvistanut confirmed
robert robert
laatija author
vetoomuksia appeals
nimet names
romaaneista novels
luultavasti probably
käsitteitä concepts
cookin cook
kertaa time
pohjimmiltaan basically
kerran again
ranskan french
services services
arkkipiispa archbishop
rajat borders
sääntö rule
rinta shoulder
monumentti monument
festivaaleja festivals
totuus truth
keskimäärin average
arkkitehtien architects
entinen former
syyllinen guilty
uhka threat
lippujen ticket
vuoropuhelu dialogue
professorin professor
säiliössä tank
kuninkaallista royal
menettelyn procedure
kansainvälisen international
vaikutusten impact
unkarissa hungary
mestaruuskisoissa tournament
luottamuksen trust
altaassa basin
tarjoajien providers
suunnitelma plan
ravintoloihin restaurants
marylandin maryland
toimijat players
marraskuussa november
hyvät ladies
edustaa represent
saksan germany
julkisten public
käynnisti launched
markkinoille market
kumppanuutta partnership
lisäarvoa value
its its
ulkopuolelle outside
geneettisten genetic
rescue rescue
sisarensa sister
korjaamon garage
avioliitto marriage
toimien actions
suuntauksia trends
tarjota provide
vahvasti strongly
pelastakaa save
hiukkasia particles
suullisen oral
puolan poland
rose rose
julkaisujen publications
sairaalan hospital
dawn dawn
rotuun racial
detroitin detroit
ellet click
georgialainen team
palvelun service
johtajia leaders
tavallisesti normally
kameroiden cameras
altistumisen exposure
viha anger
ainutlaatuinen unique
henkeä spirit
etuja interests
taiteilija artist
lyhyttä brief
vankeja prisoners
itseämme ourselves
guardian guardian
näyttely exhibition
jotenkin somehow
suojella protect
tilanteeseen situation
sijoittajia investors
seurat clubs
hollywoodin hollywood
lääkkeitä medicines
box box
harvinaisia rare
kirjaimellisesti literally
tähti star
juhlapäivien festivals
sähköistää powered
olosuhteissa circumstances
elämää lives
painostusta pressure
norman norman
onnea luck
visuaalinen visual
lopullisen final
yksinkertaisesti simply
aidsin aids
säännöt rules
köyhyyttä poverty
selkeästi clearly
kaksi two
lukutaito literacy
menojen expenditure
koalitio coalition
liittyneet joined
edelleen still
bernard bernard
asiakkaita customers
seksuaalista sexual
kaksinkertaisen double
city city
inflaation inflation
sallikaa allow
satamat ports
association association
rumpua drum
kilpailijat competitors
lähestymistavan approach
asiakkaiden clients
kysymyksiä questions
centre centre
sivua page
lukija reader
kysymyksiä issues
koneisto machine
politiikkaan politics
risk risk
mahdollisuuksia opportunities
tärkeitä important
erosi resigned
sarah sarah
lainsäädännön legislation
käyttäjien users
michael michael
kameroita cameras
tehokas effective
vääriä false
tiiviisti closely
arvostelijat critics
argentiinassa argentina
mekaaninen mechanical
esineitä objects
tanskan danish
peräkkäisen consecutive
tuskin hardly
lead lead
muuri wall
myyntiä sale
johtajan leader
hall hall
voice voice
museoon museum
jimmy jimmy
syyskuuta september
sankari hero
yrityksiä businesses
pyhiä sacred
teki did
onnistunut managed
risteilyillä cruise
suunnitelmaa plan
todellisuus reality
epävirallisessa informal
kauan long
vastanneista respondents
öljyn oil
johtajat leaders
sotilasta soldiers
penin pen
järjestöt organisations
kuparin copper
kysynnän demand
pyyntöjä requests
käytäntöjen practices
yhtenäisyys unity
potin pot
kohtaa paragraph
naiset women
palkintojen prizes
siirtomaavallan colonial
matemaattisen mathematical
massachusettsin massachusetts
vahingoittanut damaged
taiteita arts
satelliitin satellite
plus plus
julkisen public
hintoja prices
virkamiehet officials
miehistön crew
reittejä routes
edustusta representation
cap cap
laitteistojen hardware
huumeiden drug
yorkissa york
neljännen fourth
pelkäävät fear
harvardin harvard
kaupunkien cities
tuote product
vuokralaisten tenants
paljastavat reveal
neuvotteluissa negotiations
hänen his
linna castle
yhteisössä issues
törkeällä reflection
siipiä wings
politiikkaa policy
belgia belgium
ohjelma programme
jälkeen after
hallinnollisia administrative
päättäminen closure
web web
poikia boys
dynaaminen dynamic
kolmannen application
lähes almost
mitä what
arvonlisäveron vat
biologiaa biology
diabetesta diabetes
väittävät claim
suoraan direct
ihmiskuntaa humanity
edellyttävät require
valkoisesta white
myydä sold
perinnön legacy
aktiivinen active
hankkeita projects
crystal crystal
kukat flowers
kertoa tell
digitaalisen digital
beer beer
asiakkaat clients
keskipitkän medium
lääketieteen medicine
tukee supports
auttaa help
kampanjoita campaigns
maakunnassa province
instituutin institute
quality quality
kaupunginvaltuutettu councillor
rahoitus funding
huhtikuuta april
virkamiesten officials
ratkaisun solution
yhtäkkiä suddenly
shakespeare shakespeare
arkeologisia archaeological
arizona arizona
espanja spanish
kulutusta consumption
kansalaisia citizens
heinäkuuta july
ihmisiä people
suuria major
lause sentence
haasteen challenge
ranskan france
saarten islands
rolling rolling
general general
kysymys question
