lagerung storage
vietnam vietnam
kanzler chancellor
schlechte bad
anordnung order
früheren previous
absolute absolute
gemeinsam together
betreffen affect
winterspiele winter
intelligenz intelligence
haltungen attitudes
grenzen limits
geschlechts sex
insbesondere particularly
bad bath
herausgebern editors
salz salt
formale formal
tiefe deep
freiwilligen voluntary
graue grey
überwinden overcome
westen west
sport sport
küche kitchen
hohe high
boot boat
zukunft future
bier beer
ausweitung extension
entschädigung compensation
entsandte posted
meinung opinion
weisung instruction
flusses river
abgesehen apart
phasen stages
amerikanische american
vier four
harbour harbour
brunnen wells
five five
untersuchen investigate
familien families
bewohner inhabitants
nachhaltige sustainable
behandeln treat
installieren install
experimental experimental
handeln act
anlaufstelle shop
schaden harm
geist spirit
seinem his
leicht easily
selbst itself
golden golden
mountain mountain
antwort response
widerstand resistance
konten accounts
garten garden
mauern walls
derzeitigen current
auswahl selection
elektrische electric
märz march
beraters consultant
gelbe yellow
independence independence
republikanische republican
italienische italian
befugnisse powers
saubere clean
leiden suffer
molekularer molecular
gewalt violence
transport transportation
legenden legend
weg path
aufmerksamkeit attention
paket package
global global
christentums christianity
handels trade
staaten states
helfen help
fakultät faculty
sehen see
bereits already
richter judge
gesundheitsversorgung healthcare
trotzdem nevertheless
verfügbaren available
sprache language
tabellen tables
flüsse rivers
basis basis
quantität quantity
begrüßen welcome
gelebt lived
elternteil parent
losen loose
erwachsenen adult
disziplin discipline
sicherstellen ensure
personal personnel
kontakte contact
brüder brothers
eis ice
verfütterung feeding
kapital capital
hören hear
königlichen royal
policy policy
unterzeichnet signed
frank frank
loch hole
landwirte farmers
dom cathedral
und and
herausgeber editor
professors lecturer
landwirtschaftliche agricultural
detaillierten detailed
geteilt divided
frühjahr spring
guides guides
herbst autumn
männlichen male
gerettet saved
ansehen reputation
laufzeit duration
beschäftigten employees
texas texas
redaktionellen editorial
verbrauch consumption
dienstleistungen services
größte biggest
veränderungen changes
genügend sufficient
umfragen surveys
karibik caribbean
kreative creative
leid suffering
ingenieuren engineers
viertel quarter
weiteren further
illegale illegal
bemerkungen comments
dekade decade
toren gates
regionale regional
gewöhnlich usually
fahrer drivers
ausschließlichen exclusive
protokolls minutes
zeitung newspaper
blauen blue
sky sky
prinz prince
bereit prepared
oberen upper
kam came
recht right
feedback feedback
wissen know
barry barry
bereich field
sachverständigen experts
einklang accordance
zentralen central
änderung amendment
verwirrung confusion
überarbeiteten revised
infanterie infantry
regierung government
habitat habitat
häufigkeit frequency
tanz dance
äußern express
wunsch desire
mündlichen oral
vernünftige reasonable
wussten knew
integrierte integrated
associations associations
felsen rock
bekannt known
klare clear
erkenntnisse findings
masterstudiengänge masters
projekte projects
starken strong
verliehen awarded
flexible flexible
technische technical
anwendung application
hauptmann captain
bedeutet means
monatliche monthly
echten genuine
büro office
fahrzeugen vehicles
institution institution
kredit loan
katholische catholic
camp camp
bill bill
stil style
gipfel summit
aufbau construction
antragsteller applicants
worte words
wissenschaftlern scientists
literarischen literary
its its
untersuchen examine
nächsten next
posten post
nationale national
zähne teeth
unterirdische underground
oxford oxford
tunnels tunnel
konsequenz consequence
rindern cattle
publikum audience
sommer summer
patent patent
distrikt district
tank tank
arbeitgeber employers
etappen stages
gaststätte pub
verfasser author
memorial memorial
politischen political
kanadischen canadian
familie family
hoffen hope
ostern easter
evaluierung evaluation
nördliche northern
saatgut seed
bürgern citizens
angesiedelt located
besiegt defeated
ethik ethics
zusätzliche additional
gesehen seen
gewinner winners
registration registration
jeder everyone
leben life
religiösen religious
less less
tour tour
kunstgeschichte art
neuen new
fast almost
geschieht happens
tagungsort venue
funktionen functions
helden hero
baum tree
fähigkeit capacity
jahrestag anniversary
music music
brüdern brothers
technischen technical
loop loop
antworten responses
interview interview
abstimmung vote
antike ancient
erfüllen meet
ausstieg exit
angebaut grown
städtischen municipal
gruppen groups
kindern children
sowohl both
akten files
viertels estate
kontakte contacts
kopf heads
errungenschaften achievements
center center
aid aid
bleibt remains
ländliche rural
bemerkung comment
schnee snow
sänger singer
overseas overseas
gezwungen forced
grafschaften counties
bühne scene
credit credit
zugelassen permitted
instrumente tools
carolina carolina
bemerkenswerten remarkable
anträge applications
prince prince
touristischen tourist
offizielle official
kulturen crops
bemerkenswert remarkable
gemeinsame joint
bewertung assessment
wollten wanted
sam sam
kriegen wars
zusammenhang connection
betrifft subject
begrenzt limited
handbuch manual
art kind
kauf purchase
beitreten join
möchte would
priorität priority
stolz proud
rang rank
runde round
gleichen same
korrespondenz correspondence
senden send
besitzer owners
folgen follow
nationalen national
entsetzen horror
wirkung effect
kameras cameras
weiße white
ungeachtet regardless
spektakuläre spectacular
materiellen material
register register
insbesondere especially
general general
obwohl although
drogen drugs
lernen learning
interessierten interested
paritätischen joint
sohn son
greater greater
johannes john
traditionell traditionally
ethnischer ethnic
ganze entire
armee army
berichten reports
kontakten contacts
deutsche german
kaffee coffee
partner partners
verantwortlichkeiten responsibilities
molekularen molecular
offiziell officially
briefe letters
betreuer carers
auftreten arise
tropischen tropical
standard standard
beschäftigung employment
operation operation
ideen ideas
wort word
älteren older
freilassung release
rubrik heading
bereiche areas
gebet prayer
allein alone
hersteller manufacturer
anzahl number
scheinen appear
olympischen olympic
industrie industry
australische australian
herkömmlichen conventional
seit since
schwestern sisters
alles everything
forderung request
kandidaten candidate
gewalttätigen violent
direct direct
seltsam odd
modellen models
redner speakers
flug flight
richtlinie directive
generationen generations
teilnehmern participants
gegenwärtigen current
legislative legislative
genaue exact
gründer founder
landesinneren interior
combat combat
paul paul
gäste guests
abschließend finally
müssen need
berühmte famous
vertreters representative
ausmaß extent
geschlecht sex
crown crown
knochenmehl meal
beamten officials
japanische japanese
gericht court
flugzeugen aircraft
reiche rich
behandlungen treatments
chinesische chinese
gearbeitet worked
theoretischen theoretical
krankenschwester nurse
schweden sweden
ihnen you
hautfarbe colour
lernens learning
helen helen
prävention prevention
prozess process
statistischen statistical
man man
unser our
verglichen compared
stuart stuart
gesetz law
bedeutung importance
landwirten farmers
laufbahn career
sowjetimperiums ever
erster first
erlitten suffered
strom electricity
archiven archives
konzentrieren focus
projekten projects
bombe bomb
bürgerlichen civil
weit far
ehefrau wife
anregungen suggestions
generell generally
niedrige low
sechsten sixth
florida florida
content content
kultur culture
blair blair
ausgewählten selected
überwachung monitoring
sicheren safe
erfolgreich successfully
systems system
begriffe concepts
grants grant
test test
klub club
sängerin singer
vielleicht perhaps
nachricht news
rückmeldungen feedback
tatsächlich indeed
weichen soft
hülse shell
variablen variable
einflussreiche influential
artikel rule
grauen grey
organisiert organised
gebieten areas
zeit time
zeigen show
abstrakte abstract
telefon telephone
begrenzten limited
tiefen deep
kriege wars
staat state
bezahlen pay
dna dna
republik republic
gebiet area
externen external
kinos cinema
herzogs duke
innovationen innovation
force force
radikale radical
gates gates
unordnung disorder
frage question
kombination combination
nichtständigen temporary
unsere our
haushalten households
christoph christopher
gesellschaften societies
rasse race
seminar seminar
edit edit
typischen typical
mitgliedern members
künste arts
jackson jackson
rescue rescue
annahme adoption
doktor doctor
instruktion instructions
registriert registered
älteren elderly
jahres year
gelagert stored
ähnlichen similar
monaten months
verbindung link
dienen serve
konventionelle conventional
kunden customers
irische irish
niederlanden netherlands
stärke strength
tempo pace
entscheidung decision
umfrage survey
fernen far
afrikanischen african
nächste next
medizinischen medical
werten values
felsen rocks
allgemeine general
moslemischen muslim
tradition tradition
unterstützen support
akzeptabel acceptable
zweige branches
beste best
ähnliche similar
woods woods
electric electric
stabilität stability
rand edge
erhabenen august
ärzte doctors
problemen problems
elektrische electrical
begrüßt welcomed
waldfläche woodland
ozean ocean
wahrscheinlich probably
big big
gleiche same
young young
robert robert
adam adam
criminal criminal
frau mrs
bewegung movement
schafen sheep
rauch smoke
bahnhöfen stations
meisterschaft tournament
campus campus
ziel objective
gehirn brain
reihe series
verkauf sales
steigende rising
ersatz replacement
beitrag contribution
ben ben
parks parks
visuelle visual
komplott plot
weiß know
lead lead
disability disability
commons commons
sektor sector
interessiert interested
jahrzehnte decades
konzepte concepts
lichter lights
eingeladen invited
wurde was
ersetzt replaced
obst fruit
vorteile benefits
beitrittswilligen candidate
fraktionen groups
einfluss influence
neuesten latest
historischen historical
buchstäblich literally
gelegentlichen occasional
telefon phone
kritischen critical
erweitert extended
touristische tourist
persönlichkeit personality
zelle cell
schnell quickly
gegenseitigen mutual
truppen troops
unabhängigen independent
regeln rules
qualifikation qualification
position position
gewähren grant
kopien copies
protokoll protocol
gipfels summit
west west
höher higher
voraus advance
vorsitzender chairman
einfacher easier
rat council
export export
zusammen together
führung leadership
schließlich finally
ausländische foreign
krieg war
dritte third
selten rare
negative negative
maßnahmen action
warum why
toten dead
weiter further
gelitten suffered
getroffen taken
arbeitgebern employers
überblick overview
brechen break
großen large
schriftsteller writer
band band
mann man
umwandlung conversion
augenblick moment
ursprungs origin
table table
clark clark
fakten facts
gast guest
dicken thick
kapazität capacity
parlamentarische parliamentary
merkwürdig strange
hüterin guardian
billig cheap
automatische automatic
bitten ask
agenda agenda
sogar even
minority minority
windows windows
leere empty
umgewandelt converted
unterstützung support
freitag friday
haar hair
worden been
wirklich really
einwanderung immigration
dienstag tuesday
dienste services
nützlich useful
inspiriert inspired
survey survey
umstrittenen controversial
gebiet field
bäumen trees
überleben survive
beratenden advisory
regelungen regulations
auch also
source source
demographie demographics
krankenschwestern nurses
obersten supreme
leer empty
unfall accident
lebens life
polen poland
milliarden billion
beschränkt restricted
ausfuhr export
zeigt shows
parallel parallel
kanal channel
erörtern discuss
imperialen imperial
hope hope
erfordert requires
green green
bäcker baker
museen museums
identifizierung identification
live live
preisen prices
wellen waves
übereinkommen convention
göttliche divine
stolz pride
etwa around
illegalen illegal
strafe penalty
kommunikation communications
private private
entwicklungen developments
elf eleven
schlecht bad
bestand stock
lage situation
banknoten notes
gründen reasons
mathematische mathematical
schwangerschaft pregnancy
silber silver
erbes heritage
anderson anderson
andrew andrew
guide guide
moralischen moral
fachzeitschriften journals
versuchen try
tropische tropical
kriminalität crime
handlungen acts
schweiz switzerland
mutter mother
beurteilen judge
geholfen helped
open open
taylor taylor
miss miss
reden talk
zuletzt least
französischen french
maschine machine
erheblich significantly
erfahrung experience
idee idea
car car
