storage lagerung
peter peter
wish wünschen
left linke
beer beer
arrival ankunft
bureau präsidiums
quote zitieren
act act
request antrag
our unserer
wind wind
opened eröffnet
standing ständigen
treated behandelt
alternatively alternativ
cars autos
rocks klippen
survived überlebt
safety safety
western westliche
elected gewählt
italian italienischen
archive archiv
profits profite
twin twin
theory theorie
lists listen
create schaffung
feelings gefühle
higher höhere
experience erfahrungen
crucial entscheidend
letter brief
extent umfang
was war
mission mission
worship religionsausübung
morgan morgan
court gerichtshof
james james
coast küste
represented vertreten
very sehr
returned zurückgekehrt
universe universums
filled gefüllt
non non
dna dns
mining bergbau
game game
windows fenster
brought gebracht
vote stimmen
christianity christentum
alliance bündnis
eye auge
potential potenzial
players akteure
pursue verfolgen
dialogue dialogs
response reaktion
houses häuser
percentage prozentsatz
posts stellen
personal persönliche
sky luftraums
week woche
god gott
sin sünde
created geschaffen
screen bildschirm
determine bestimmen
cricket cricket
investors anleger
tool instrument
read read
measurement messung
education bildung
coverage abdeckung
immediately unverzüglich
anywhere irgendwo
applications anwendungen
label etikett
authors verfassern
interactive interaktiver
single einzigen
report bericht
cultural kulturelle
products erzeugnisse
hardly kaum
rich reichen
components komponenten
legislative legislativen
light licht
candidate kandidat
religious religiöser
installed installiert
dance tanzen
discovered entdeckt
gulf golf
taste geschmack
registration registrierung
son son
scottish schottischen
combat bekämpfung
relevant entsprechenden
casino kasino
census volkszählung
internal innere
applied angewendet
body organ
costs kosten
germany deutschland
cards cards
urban städtischen
some einigen
sit sitzen
responsible verantwortlich
children kinder
necessarily unbedingt
variable variable
but sondern
hand seite
worst schlimmsten
sum betrag
economic wirtschaftliche
federal föderalen
plus plus
statement erklärung
position standpunkt
updates aktualisierungen
division division
men männer
initial ursprünglichen
opposite gegenteil
published veröffentlicht
prisoners häftlinge
classic klassisches
operations operationen
expect erwarten
labour labour
increase erhöhen
section abschnitt
collection erfassung
oil erdöl
councils räten
studies studies
context zusammenhang
sea see
annual jährliche
awarded vergeben
encourage ermutigen
will wird
orchestra orchester
judge richters
regardless unabhängig
books bücher
network netz
disabled behinderten
happy frohes
declared erklärt
place place
facilities einrichtungen
judgment urteil
wedding hochzeit
prepare vorzubereiten
daily täglich
cat katze
cross kreuz
deposit hinterlegung
young jungen
united vereinigten
plan plan
errors fehler
find finden
lectures vorträge
distinction unterscheidung
usual üblichen
museum museums
sale verkauf
enforcement enforcement
formerly ehemals
graduates hochschulabsolventen
flag flagge
operation funktionieren
purchased gekauft
dangerous gefährliche
flood flut
movements bewegungen
fourth vierte
assistant assistentin
happy zufrieden
reduced reduziert
spoken gesprochen
arms arms
crime crime
healthy gesunden
award verleihung
free freie
damaged beschädigt
occupation besatzung
award award
terry terry
neighbourhood nachbarschaft
ever jemals
attitudes einstellungen
patient patient
finance finanzieren
miller miller
description beschreibung
call forderung
cost cost
bridge brücke
leisure freizeit
garden garden
open offen
once wieder
dynamic dynamik
housing wohnraum
bodies organe
cities städte
particularly besonders
trained ausgebildete
interesting interessanten
reporting reporting
cross überqueren
steel stahl
workshop workshop
safe sichere
issue frage
fishing fishing
one eines
titles titeln
sleep schlafen
dancing tanz
roy roy
chain kette
documents dokumente
ireland irland
psychology psychologie
artists künstler
society gesellschaft
union union
transition übergang
adoption verabschiedung
large große
eight acht
ethical ethischen
beliefs überzeugungen
amount betrag
windows fenstern
device gerät
way camino
desert wüste
samples stichproben
persons personen
conservative konservativen
six sechs
representation vertretung
wishes wünschen
judges richtern
actual tatsächlichen
mix mix
article artikel
watch watch
crown krone
blind blinde
statistics statistiken
artists künstlern
mean bedeuten
systems systeme
seven seven
jerusalem jerusalem
evidence beweise
nuclear nuklearen
nation nation
numbers numbers
studies untersuchungen
products products
talent talent
dogs hunden
commander kommandeur
hong hong
statistical statistische
race race
infection infektion
dutch niederländischen
read gelesen
directions richtungen
authority autonomiebehörde
component komponente
index index
foster foster
opportunities möglichkeiten
sugar sugar
feed futtermittel
her ihrem
governments regierungen
far far
tropical tropical
reliable verlässliche
repeated wiederholten
interesting interessant
everyday alltäglichen
samuel samuel
pain schmerz
deputy stellvertretenden
opinion stellungnahme
comfort trost
fully voll
incident zwischenfall
tony tony
samples proben
agents agenten
archaeology archäologie
apply anwenden
adjacent angrenzenden
girls mädchen
introduce einführen
saint engels
sexual sexueller
secret geheimen
mechanical mechanischen
degree grad
class klasse
wider größeren
references hinweise
recognised anerkannt
russia rußland
department abteilung
division teilung
goods waren
piece rechtsakt
posts posten
novel roman
bell klingelzeichen
countries ländern
sports sportarten
remote entlegenen
veterinary veterinärmedizinischen
newspapers zeitungen
satisfied zufrieden
moment moment
summer sommerspiele
managing geschäftsführenden
earth erde
suitable geeigneten
truth wahrheit
religion religionsfreiheit
wish wünsche
exact genauen
charges gebühren
before vor
memorial gedenkstätte
focus focus
small kleine
critical kritisch
farm farm
delay verzögerung
however aber
shot erschossen
procedure verfahrens
useful nützliche
repair reparatur
younger jüngeren
hiv hiv
made made
sexual sexuelle
food food
causes ursachen
affected betroffenen
hands händen
storm sturm
losses verluste
components bestandteile
save sparen
strategic strategische
elected gewählten
electronic elektronischen
air luft
promotion förderung
leads führt
summary zusammenfassung
could könnte
driven getrieben
painting malerei
badly schlecht
birds vögel
budget haushalt
retirement ruhestand
card karte
stone stone
infection infektionen
poem gedicht
extra zusätzliche
flower blume
supported unterstützt
meals verpflegung
connections verbindungen
two zwei
nights nächte
meeting sitzung
musicians musiker
demographics demografie
arab arabischen
blog blogs
rock rock
library library
margaret margaret
occupied besetzten
come kommen
why weshalb
time mal
age angebrochen
navigation schifffahrt
pleasant angenehme
georgia georgien
shakespeare shakespeare
concern sorge
commander kommandanten
your ihrer
dominated dominiert
female weibliche
ict ikt
rare seltenen
rapid schnellen
covers umfasst
check check
advertising werbung
conditions bedingungen
two beiden
transmission übertragung
speech rede
fraud betrug
ten ten
third drittel
agricultural landwirtschaftlichen
leader leader
records rekorde
love lieben
paid bezahlt
activity aktivität
sources quellen
estate estate
testing tests
acid saurem
mobile mobile
relations beziehungen
retain behalten
occasionally gelegentlich
add hinzufügen
trials prüfungen
surrey surrey
thames themse
plastic kunststoff
injuries verletzungen
soon schnell
jewish jüdischen
residence aufenthalt
entry einreise
improvements verbesserungen
him ihn
credit krediten
assigned assigned
asked gebeten
suddenly plötzlich
column kolonne
apple apfel
bodies gremien
reflect widerspiegeln
programming programming
recovery erholung
ultimately letztendlich
new new
size größe
service dienst
affected betroffen
bus bus
wells wells
feeling gefühl
vietnam vietnam
chancellor kanzler
bad schlechte
order anordnung
previous früheren
absolute absolute
together gemeinsam
affect betreffen
winter winterspiele
intelligence intelligenz
attitudes haltungen
limits grenzen
sex geschlechts
particularly insbesondere
bath bad
editors herausgebern
salt salz
formal formale
deep tiefe
voluntary freiwilligen
grey graue
overcome überwinden
west westen
sport sport
kitchen küche
high hohe
boat boot
future zukunft
beer bier
extension ausweitung
compensation entschädigung
posted entsandte
opinion meinung
instruction weisung
river flusses
apart abgesehen
stages phasen
american amerikanische
four vier
harbour harbour
wells brunnen
five five
investigate untersuchen
families familien
inhabitants bewohner
sustainable nachhaltige
treat behandeln
install installieren
experimental experimental
act handeln
shop anlaufstelle
harm schaden
spirit geist
his seinem
easily leicht
itself selbst
golden golden
mountain mountain
response antwort
resistance widerstand
accounts konten
garden garten
walls mauern
current derzeitigen
selection auswahl
electric elektrische
march märz
consultant beraters
yellow gelbe
independence independence
republican republikanische
italian italienische
powers befugnisse
clean saubere
suffer leiden
molecular molekularer
violence gewalt
transportation transport
legend legenden
path weg
attention aufmerksamkeit
package paket
global global
christianity christentums
trade handels
states staaten
help helfen
faculty fakultät
see sehen
already bereits
judge richter
healthcare gesundheitsversorgung
nevertheless trotzdem
available verfügbaren
language sprache
tables tabellen
rivers flüsse
basis basis
quantity quantität
welcome begrüßen
lived gelebt
parent elternteil
loose losen
adult erwachsenen
discipline disziplin
ensure sicherstellen
personnel personal
contact kontakte
brothers brüder
ice eis
feeding verfütterung
capital kapital
hear hören
royal königlichen
policy policy
signed unterzeichnet
frank frank
hole loch
farmers landwirte
cathedral dom
and und
editor herausgeber
lecturer professors
agricultural landwirtschaftliche
detailed detaillierten
divided geteilt
spring frühjahr
guides guides
autumn herbst
male männlichen
saved gerettet
reputation ansehen
duration laufzeit
employees beschäftigten
texas texas
editorial redaktionellen
consumption verbrauch
services dienstleistungen
biggest größte
changes veränderungen
sufficient genügend
surveys umfragen
caribbean karibik
creative kreative
suffering leid
engineers ingenieuren
quarter viertel
further weiteren
illegal illegale
comments bemerkungen
decade dekade
gates toren
regional regionale
usually gewöhnlich
drivers fahrer
exclusive ausschließlichen
minutes protokolls
newspaper zeitung
blue blauen
sky sky
prince prinz
prepared bereit
upper oberen
came kam
right recht
feedback feedback
know wissen
barry barry
field bereich
experts sachverständigen
accordance einklang
central zentralen
amendment änderung
confusion verwirrung
revised überarbeiteten
infantry infanterie
government regierung
habitat habitat
frequency häufigkeit
dance tanz
express äußern
desire wunsch
oral mündlichen
reasonable vernünftige
knew wussten
integrated integrierte
associations associations
rock felsen
known bekannt
clear klare
findings erkenntnisse
masters masterstudiengänge
projects projekte
strong starken
awarded verliehen
flexible flexible
technical technische
application anwendung
captain hauptmann
means bedeutet
monthly monatliche
genuine echten
office büro
vehicles fahrzeugen
institution institution
loan kredit
catholic katholische
camp camp
bill bill
style stil
summit gipfel
construction aufbau
applicants antragsteller
words worte
scientists wissenschaftlern
literary literarischen
its its
examine untersuchen
next nächsten
post posten
national nationale
teeth zähne
underground unterirdische
oxford oxford
tunnel tunnels
consequence konsequenz
cattle rindern
audience publikum
summer sommer
patent patent
district distrikt
tank tank
employers arbeitgeber
stages etappen
pub gaststätte
author verfasser
memorial memorial
political politischen
canadian kanadischen
family familie
hope hoffen
easter ostern
evaluation evaluierung
northern nördliche
seed saatgut
citizens bürgern
located angesiedelt
defeated besiegt
ethics ethik
additional zusätzliche
seen gesehen
winners gewinner
registration registration
everyone jeder
life leben
religious religiösen
less less
tour tour
art kunstgeschichte
new neuen
almost fast
happens geschieht
venue tagungsort
functions funktionen
hero helden
tree baum
capacity fähigkeit
anniversary jahrestag
music music
brothers brüdern
technical technischen
loop loop
responses antworten
interview interview
vote abstimmung
ancient antike
meet erfüllen
exit ausstieg
grown angebaut
municipal städtischen
groups gruppen
children kindern
both sowohl
files akten
estate viertels
contacts kontakte
heads kopf
achievements errungenschaften
center center
aid aid
remains bleibt
rural ländliche
comment bemerkung
snow schnee
singer sänger
overseas overseas
forced gezwungen
counties grafschaften
scene bühne
credit credit
permitted zugelassen
tools instrumente
carolina carolina
remarkable bemerkenswerten
applications anträge
prince prince
tourist touristischen
official offizielle
crops kulturen
remarkable bemerkenswert
joint gemeinsame
assessment bewertung
wanted wollten
sam sam
wars kriegen
connection zusammenhang
subject betrifft
limited begrenzt
manual handbuch
kind art
purchase kauf
join beitreten
would möchte
priority priorität
proud stolz
rank rang
round runde
same gleichen
correspondence korrespondenz
send senden
owners besitzer
follow folgen
national nationalen
horror entsetzen
effect wirkung
cameras kameras
white weiße
regardless ungeachtet
spectacular spektakuläre
material materiellen
register register
especially insbesondere
general general
although obwohl
drugs drogen
learning lernen
interested interessierten
joint paritätischen
son sohn
greater greater
john johannes
traditionally traditionell
ethnic ethnischer
entire ganze
army armee
reports berichten
contacts kontakten
german deutsche
coffee kaffee
partners partner
responsibilities verantwortlichkeiten
molecular molekularen
officially offiziell
letters briefe
carers betreuer
arise auftreten
tropical tropischen
standard standard
employment beschäftigung
operation operation
ideas ideen
word wort
older älteren
release freilassung
heading rubrik
areas bereiche
prayer gebet
alone allein
manufacturer hersteller
number anzahl
appear scheinen
olympic olympischen
industry industrie
australian australische
conventional herkömmlichen
since seit
sisters schwestern
everything alles
request forderung
candidate kandidaten
violent gewalttätigen
direct direct
odd seltsam
models modellen
speakers redner
flight flug
directive richtlinie
generations generationen
participants teilnehmern
current gegenwärtigen
legislative legislative
exact genaue
founder gründer
interior landesinneren
combat combat
paul paul
guests gäste
finally abschließend
need müssen
famous berühmte
representative vertreters
extent ausmaß
sex geschlecht
crown crown
meal knochenmehl
officials beamten
japanese japanische
court gericht
aircraft flugzeugen
rich reiche
treatments behandlungen
chinese chinesische
worked gearbeitet
theoretical theoretischen
nurse krankenschwester
sweden schweden
you ihnen
colour hautfarbe
learning lernens
helen helen
prevention prävention
process prozess
statistical statistischen
man man
our unser
compared verglichen
stuart stuart
law gesetz
importance bedeutung
farmers landwirten
career laufbahn
ever sowjetimperiums
first erster
suffered erlitten
electricity strom
archives archiven
focus konzentrieren
projects projekten
bomb bombe
civil bürgerlichen
far weit
wife ehefrau
suggestions anregungen
generally generell
low niedrige
sixth sechsten
florida florida
content content
culture kultur
blair blair
selected ausgewählten
monitoring überwachung
safe sicheren
successfully erfolgreich
system systems
concepts begriffe
grant grants
test test
club klub
singer sängerin
perhaps vielleicht
news nachricht
feedback rückmeldungen
indeed tatsächlich
soft weichen
shell hülse
variable variablen
influential einflussreiche
rule artikel
grey grauen
organised organisiert
areas gebieten
time zeit
show zeigen
abstract abstrakte
telephone telefon
limited begrenzten
deep tiefen
wars kriege
state staat
pay bezahlen
dna dna
republic republik
area gebiet
external externen
cinema kinos
duke herzogs
innovation innovationen
force force
radical radikale
gates gates
disorder unordnung
question frage
combination kombination
temporary nichtständigen
our unsere
households haushalten
christopher christoph
societies gesellschaften
race rasse
seminar seminar
edit edit
typical typischen
members mitgliedern
arts künste
jackson jackson
rescue rescue
adoption annahme
doctor doktor
instructions instruktion
registered registriert
elderly älteren
year jahres
stored gelagert
similar ähnlichen
months monaten
link verbindung
serve dienen
conventional konventionelle
customers kunden
irish irische
netherlands niederlanden
strength stärke
pace tempo
decision entscheidung
survey umfrage
far fernen
african afrikanischen
next nächste
medical medizinischen
values werten
rocks felsen
general allgemeine
muslim moslemischen
tradition tradition
support unterstützen
acceptable akzeptabel
branches zweige
best beste
similar ähnliche
woods woods
electric electric
stability stabilität
edge rand
august erhabenen
doctors ärzte
problems problemen
electrical elektrische
welcomed begrüßt
woodland waldfläche
ocean ozean
probably wahrscheinlich
big big
same gleiche
young young
robert robert
adam adam
criminal criminal
mrs frau
movement bewegung
sheep schafen
smoke rauch
stations bahnhöfen
tournament meisterschaft
campus campus
objective ziel
brain gehirn
series reihe
sales verkauf
rising steigende
replacement ersatz
contribution beitrag
ben ben
parks parks
visual visuelle
plot komplott
know weiß
lead lead
disability disability
commons commons
sector sektor
interested interessiert
decades jahrzehnte
concepts konzepte
lights lichter
invited eingeladen
was wurde
replaced ersetzt
fruit obst
benefits vorteile
candidate beitrittswilligen
groups fraktionen
influence einfluss
latest neuesten
historical historischen
literally buchstäblich
occasional gelegentlichen
phone telefon
critical kritischen
extended erweitert
tourist touristische
personality persönlichkeit
cell zelle
quickly schnell
mutual gegenseitigen
troops truppen
independent unabhängigen
rules regeln
qualification qualifikation
position position
grant gewähren
copies kopien
protocol protokoll
summit gipfels
west west
higher höher
advance voraus
chairman vorsitzender
easier einfacher
council rat
export export
together zusammen
leadership führung
finally schließlich
foreign ausländische
war krieg
third dritte
rare selten
negative negative
action maßnahmen
why warum
dead toten
further weiter
suffered gelitten
taken getroffen
employers arbeitgebern
overview überblick
break brechen
large großen
writer schriftsteller
band band
man mann
conversion umwandlung
moment augenblick
origin ursprungs
table table
clark clark
facts fakten
guest gast
thick dicken
capacity kapazität
parliamentary parlamentarische
strange merkwürdig
guardian hüterin
cheap billig
automatic automatische
ask bitten
agenda agenda
even sogar
minority minority
windows windows
empty leere
converted umgewandelt
support unterstützung
friday freitag
hair haar
been worden
really wirklich
immigration einwanderung
tuesday dienstag
services dienste
useful nützlich
inspired inspiriert
survey survey
controversial umstrittenen
field gebiet
trees bäumen
survive überleben
advisory beratenden
regulations regelungen
also auch
source source
demographics demographie
nurses krankenschwestern
supreme obersten
empty leer
accident unfall
life lebens
poland polen
billion milliarden
restricted beschränkt
export ausfuhr
shows zeigt
parallel parallel
channel kanal
discuss erörtern
imperial imperialen
hope hope
requires erfordert
green green
baker bäcker
museums museen
identification identifizierung
live live
prices preisen
waves wellen
convention übereinkommen
divine göttliche
pride stolz
around etwa
illegal illegalen
penalty strafe
communications kommunikation
private private
developments entwicklungen
eleven elf
bad schlecht
stock bestand
situation lage
notes banknoten
reasons gründen
mathematical mathematische
pregnancy schwangerschaft
silver silber
heritage erbes
anderson anderson
andrew andrew
guide guide
moral moralischen
journals fachzeitschriften
try versuchen
tropical tropische
crime kriminalität
acts handlungen
switzerland schweiz
mother mutter
judge beurteilen
helped geholfen
open open
taylor taylor
miss miss
talk reden
least zuletzt
french französischen
machine maschine
significantly erheblich
experience erfahrung
idea idee
car car
