mentioned erwähnt
smoking rauchens
participate teilnehmen
countries länder
copy kopie
cats katzen
assessment einschätzung
certainly sicherlich
generation generation
trip reise
were waren
fire feuerwehrmänner
mystery rätsel
drop tropfen
its ihre
impossible unmöglich
bomb bombardieren
live leben
after nach
expression ausdruck
leg bein
push drängen
high hohen
justice gerechtigkeit
building gebäude
inform mitteilen
capital hauptstadt
entertainment unterhaltung
hardware hardware
april april
netherlands niederlande
walter walter
critics kritiker
inclusion einbeziehung
committees ausschüssen
sign zeichen
desert desert
password passwort
scott scott
tower turms
commission kommission
criticism kritik
flexible flexiblen
actor akteur
player akteur
create schaffen
protection schutze
parents eltern
crisis krise
signing unterzeichnung
exactly genau
arms waffen
focused konzentriert
mount olymp
mirror spiegel
surface oberfläche
divisions spaltungen
month monat
restoration wiederherstellung
concerns betrifft
gallery tribüne
perspective perspektive
car auto
largest größten
indian indische
opportunity chance
roles rollen
commitment verpflichtung
server server
producers erzeuger
currency währung
done getan
articles artikeln
relatively relativ
pleasant angenehmen
mills mills
higher höheren
achievement errungenschaft
super super
mouse maus
recruitment rekrutierung
lesson lektion
the die
israeli israelischen
relation bezug
natural natürliche
turkish türkischen
clubs vereinen
libraries bibliotheken
scientific wissenschaftliche
lectures belehrungen
past vergangenheit
ill krank
equally gleichermaßen
pride pride
suggest vorschlagen
trust vertrauen
judge richterin
membership mitgliedschaft
would würden
senate senat
biological biologischer
you sie
taught gelehrt
growing wachsende
boards verwaltungsräte
keep halten
corps korps
fashion fashion
mills mühlen
dublin dublin
liverpool liverpool
scenes kulissen
forest wald
opened geöffnet
responsibilities verantwortung
roof dach
cut entzieht
innovative innovative
visible sichtbar
finally hören
lost verloren
catholic katholischen
father pater
welcome begrüße
issue thema
disaster katastrophe
affordable erschwinglichen
crisis crisis
china china
rapid schnelle
parking parken
sleep schlaf
may mai
distributed verteilt
missing missing
english englische
actors akteure
streets straßen
achievement leistung
programs computerprogramme
association assoziierung
controlled kontrolliert
disabled behinderte
recovery recovery
author fragesteller
contracts verträgen
express express
chamber saal
income einnahmen
review überprüfung
meeting tagung
logo logos
group fraktion
sea meer
access zugang
tourism fremdenverkehr
suicide selbstmord
fantasy fantasie
knight ritter
memory erinnerung
copyright copyright
generate erzeugen
organised organisierte
otherwise andernfalls
via via
dimensions dimensionen
missing vermißte
official offiziellen
assistant stellvertreters
norfolk norfolk
features merkmale
aviation luftfahrt
foundation foundation
clean clean
islam islam
reality realität
engineers engineers
annually jährlich
negative negativen
hands hände
help helft
influential einflussreichen
concept begriff
drink trinken
furniture möbeln
model modell
cabinet kabinetts
feature merkmal
william william
completely vollkommen
public öffentlichen
streets straße
objects gegenstände
first ersten
sometimes manchmal
positive positiven
all alle
usa usa
greater größere
currently gegenwärtig
debt verschuldung
businesses unternehmen
people menschen
physical körperliche
attacks angriffe
afternoon nachmittag
team team
pacific pazifik
average durchschnitt
currently derzeit
pilot pilot
works funktioniert
clients kunden
considerable erhebliche
tomorrow morgen
house haus
privacy privatsphäre
translation übersetzung
hidden versteckten
second zweite
middle nahen
unusual ungewöhnlichen
resources ressourcen
keyboard klaviatur
approval genehmigung
toys spielwaren
whole gesamte
recovery konjunkturbelebung
tips müllhalden
funding finanzierung
program program
commitment commitment
clothes kleidung
chamber plenarsaal
repeated wiederholt
funny lustig
hours stunden
claims behauptet
edition ausgabe
restrictions einschränkungen
clay tonerde
australian australischen
log einloggen
several mehreren
range palette
love liebe
split getrennte
instrument instrument
luxury luxus
laid gelegt
outcome ergebnis
dogs hunde
old alte
bbc bbc
adapted angepasst
average durchschnittliche
heritage erbe
opera oper
tax steuer
path luminoso
northwest northwest
opposition opposition
diseases krankheiten
issues themen
trade handel
pitch spielfeld
happens passiert
journal amtsblatt
exciting spannende
associations verbänden
northern nördlichen
versions fassungen
whose deren
further ausgehend
local lokaler
diary tagebuch
unlikely unwahrscheinlich
stronger stärkere
young junger
polish polnische
territory hoheitsgebiet
admitted zugegeben
form form
economics economics
reduction reduzierung
receive erhalten
months monate
operator betreiber
plans plänen
helpful hilfreich
writes schreibt
next anschließend
programme programm
biggest größten
fans fans
animal tier
friends freunde
poor armen
voices stimmen
machines maschinen
spending ausgaben
planet planeten
practices praktiken
factors faktoren
max max
street straße
ridge ridge
communications mitteilungen
lands lands
correctly korrekt
introduced eingeführt
the der
including einschließlich
ship schiff
databases datenbanken
surprise überraschung
ocean ozeans
swedish schwedischen
greek griechischen
managed verwaltet
defeat niederlage
events ereignissen
gradually schrittweise
property eigentums
long long
grace gnaden
champions champions
soul seele
plate teller
virginia virginia
smoking rauchen
traditional traditionelle
completed abgeschlossen
networks netze
reserves reserven
see siehe
minor minor
again wieder
divine göttlichen
fair fair
sizes größen
vessels schiffe
potentially potentiell
gates tore
key schlüssel
collect collect
package pakets
valuable wertvolle
commercial kommerziellen
purposes zwecke
enormous enorme
inhabitants einwohner
music musik
evaluation bewertung
wild wilden
hair haaren
these diesen
perception wahrnehmung
arena bühne
serious serious
blind blind
ray ray
proved bewiesen
inform informieren
deaths todesfälle
engineer ingenieurs
statutory gesetzlichen
rest übrigen
salary gehalt
led geführt
understanding verständnis
thread faden
attempts versuche
expensive teuer
fox fox
voice voice
job engels
casino casino
justice justiz
blog blog
aspects aspekte
drinks getränke
instructions instruktionen
permitted erlaubt
commerce geschäftsverkehr
clearly eindeutig
dynamic dynamischen
comfort komfort
great großen
lowest niedrigsten
promised versprochen
authors autoren
square quadratur
credits kredite
consultants beratern
processes prozesse
roman roman
motion antrag
former ehemaligen
worse schlimmer
cancer krebs
applicants bewerber
ministers minister
formal feierliche
stones steine
erm erm
dangerous gefährlichen
shall werde
time fragestunde
magic magische
nobody niemand
joint gemischten
aim ziel
association verband
population bevölkerung
february februar
sing singen
developers entwickler
increased stärkere
existing bestehenden
joseph joseph
fixed festen
free freien
seasons jahreszeiten
lectures vorlesungen
millennium jahrtausend
clothing kleidung
actually gekleideten
reasonable vernünftigen
broad breite
decline rückgang
assess bewerten
norway norwegen
financial finanzielle
father vater
doors türen
fax fax
border grenze
constant ständigen
offices büros
interest interesse
ban ban
method methode
holy heilige
point punkt
bay golf
decade jahrzehnt
medical medical
objects objekte
direct direkten
sporting sportlichen
hotels hotels
count zählen
greek griechische
officer officer
understand verstehen
removed beseitigt
road road
united vereinten
era ära
royal royal
fairly ziemlich
broken gebrochen
consumer verbraucher
defined definiert
views ansichten
difficult schwierige
our unseren
belt gürtel
welfare welfare
map map
daily daily
argue argumentieren
overseas überseeischen
scope geltungsbereich
linux linux
organized organisierte
show zeigt
administrator administrators
obviously offensichtlich
exist existieren
composer komponisten
partner partner
caused verursacht
think denke
important wichtige
way weg
miss verpassen
secretary sekretär
medical medizinische
density besatzdichte
patrick patrick
leave verlassen
task task
video video
trail spur
rich reich
area bereich
night abend
trains züge
consequences konsequenzen
ensure sicherzustellen
function funktionieren
clubs vereine
specifically speziell
couple paar
specific spezifische
blood blut
modern moderne
princess prinzessin
his seiner
made hergestellt
challenge herausforderung
all allen
pleasant angenehm
vat mehrwertsteuer
efficient effiziente
world welt
behind hinter
value wert
inn inn
fine schönen
unusual ungewöhnlich
possible möglich
slowly langsam
criminal kriminelle
drawn gezogen
organized organisierten
centre zentrums
the den
rob rob
racial rasse
scholars gelehrte
recognise anerkennen
benefit nutzen
institutions institutionen
park park
script drehbuch
morning morning
young junge
twelve zwölf
classification einstufung
mention erwähnen
different verschiedenen
aviation luftverkehr
insight einblick
sexual sexuellen
kong kong
otherwise sonst
bay bay
cup cup
representative vertreterin
attack attack
this dieses
river fluss
harry harry
farmers farmers
empire reiches
sea sea
conduct verhalten
administrative administrative
banks banks
lighting beleuchtung
normally normalerweise
users nutzer
trees bäume
neck hals
film film
domain domain
included aufgenommen
addressed angesprochen
now now
priest priester
choice choice
circumstances umstände
preparation vorbereitung
temple tempel
confidence vertrauen
lift aufzuheben
northwest nordwestlich
dinner abendessen
kings könige
should sollte
bad bad
electricity elektrizität
thing sache
smaller kleinere
dependent angewiesen
apparently anscheinend
digital digital
check überprüfen
web web
provision bestimmung
everything everything
campbell campbell
chemistry chemie
authors maßloser
plants pflanzen
download herunterzuladen
affordable erschwingliche
clear klar
given angesichts
philip philip
don don
artificial künstliche
festival festival
abstract abstrakt
brothers brothers
identity identität
european europäische
joint gemeinsamen
november november
publications veröffentlichungen
french französische
tim tim
commissioner kommissar
even selbst
side side
chairman vorsitzende
partly teilweise
authority autorität
speed tempo
double verdoppeln
take ergreifen
war krieges
fire feuer
quote zitiere
child kind
photos fotos
independent unabhängig
peoples völker
cultural kulturellen
actually tatsächlich
business business
art kunst
restored wiederhergestellt
shadow schatten
level ebene
dead tot
regional regionaler
lakes seen
department department
controls controls
processing verarbeitung
expected erwartet
mountains bergen
techniques techniken
species arten
presence anwesenheit
before bevor
copyright urheberrecht
figure abbildung
behalf namen
forests wälder
berlin berlin
legal juristische
universities universitäten
near nähe
walls walls
adventure abenteuers
promoted gefördert
powers powers
editorial redaktioneller
alcohol alkohol
offensive offensive
administration verwaltung
ball ball
wet nassen
thank danke
promise versprechen
pleased erfreut
pink rosa
committee ausschusses
centre mittelpunkt
officer offizier
content inhalte
police polizei
needs sonderpädagogischen
piano klavier
plants anlagen
order ordnung
communities gemeinden
answer beantworten
foreign auswärtige
formal formellen
residents bewohner
wright wright
contained enthaltenen
magic magischen
sad traurigen
child kindes
closer näher
writer schriftstellers
murray murray
norman norman
valley valley
collective kollektive
marine marine
mixture mischung
manager manager
marriage ehe
sheep schafe
largely weitgehend
points punkten
stored gespeichert
socialist sozialistische
rating rating
central zentrale
usually normalerweise
discussions gespräche
mathematical mathematischen
author verfasserin
martin martin
selected ausgewählt
classification klassifizierung
copy exemplar
read lesen
architecture architektur
follows folgt
geography geografie
suppliers anbieter
this diese
innovative innovativen
david david
between zwischen
inn raststätte
department ministerium
nuclear nukleare
del del
guard garde
rank rank
odd merkwürdig
positive positiv
technologies technologien
warning warnung
quarter quartal
pay zahlen
outer äußeren
advisory beratende
roads straßen
food lebensmittel
enough genug
empire reich
ask ask
colonel oberst
borders grenzen
identify identifizieren
visit besuch
simple einfache
brief kurze
code kodex
santa santa
manchester manchester
grammar grammatik
button knopf
furniture möbel
doubt zweifel
prove beweisen
sugar zucker
dialogue dialog
port port
again erneut
arm arm
comedy komödie
